,rate
441,2.0
442,4.5
443,5.0
444,3.0
445,3.0
446,5.0
447,3.0
448,4.5
449,3.5
450,2.0
452,2.5
453,4.0
454,4.5
455,4.5
456,3.0
458,2.5
459,4.0
460,3.5
461,4.0
462,5.0
463,1.0
465,3.0
466,3.0
467,5.0
468,5.0
469,4.0
470,4.0
471,4.5
472,2.0
474,4.0
475,4.0
477,5.0
478,2.0
481,3.0
482,5.0
483,4.0
486,4.0
491,3.0
492,3.5
494,3.0
495,4.0
496,3.0
497,2.5
498,4.0
499,3.0
500,5.0
501,2.0
505,3.0
508,4.5
509,3.0
510,5.0
512,4.0
513,3.5
514,3.0
515,0.5
516,5.0
518,3.0
519,4.0
523,3.0
524,4.0
525,4.0
527,3.0
528,4.0
529,4.0
530,4.0
531,5.0
532,3.0
533,3.5
535,4.0
536,4.0
537,5.0
539,1.0
540,2.0
541,3.5
543,4.0
544,4.5
545,2.5
546,4.5
547,5.0
548,4.0
549,4.5
550,4.0
551,1.5
553,5.0
555,1.5
557,3.0
558,3.0
559,4.0
560,3.0
561,4.0
562,3.0
563,4.0
564,3.0
565,5.0
566,2.5
568,4.5
569,4.0
570,5.0
571,3.0
572,5.0
573,3.5
576,1.5
578,4.0
579,3.0
580,2.0
581,2.0
582,4.0
585,2.0
586,3.5
590,5.0
591,3.0
592,3.0
593,4.5
594,4.0
595,2.0
596,3.5
597,4.5
599,3.0
600,4.0
601,4.0
602,5.0
603,4.0
604,4.0
606,2.0
607,4.0
608,4.5
609,3.0
610,4.0
612,4.0
614,4.5
616,4.0
618,2.5
619,2.0
621,4.5
622,5.0
625,3.5
626,3.5
627,1.5
628,3.5
629,2.0
630,5.0
631,1.5
632,3.0
633,1.5
636,3.5
637,3.5
638,3.5
639,4.0
641,5.0
643,1.5
644,5.0
646,5.0
648,3.5
649,3.5
650,2.5
651,5.0
652,3.5
653,4.0
654,4.0
655,4.0
657,1.0
658,4.0
659,4.0
660,3.0
662,3.0
663,4.5
664,5.0
665,5.0
669,3.5
670,3.0
672,4.0
673,5.0
675,2.5
676,4.0
677,4.5
678,4.0
681,3.5
682,3.0
683,3.5
685,3.0
686,5.0
688,3.0
689,3.0
690,4.0
691,3.5
693,3.5
696,2.5
697,5.0
698,4.0
699,1.0
700,4.0
701,1.0
702,3.5
703,4.0
704,2.0
705,4.0
706,3.0
707,4.5
709,1.0
711,4.0
712,2.0
713,2.5
714,3.0
715,4.0
716,4.0
717,5.0
718,5.0
719,3.5
720,4.0
721,3.0
723,1.0
726,0.5
727,4.5
728,3.5
729,1.0
730,2.0
731,2.5
732,2.5
733,5.0
734,2.5
735,4.0
736,4.0
737,3.0
738,3.0
739,4.0
740,3.0
741,3.0
742,3.5
744,3.0
745,4.0
746,1.0
747,4.5
748,1.5
751,3.0
752,3.5
753,5.0
754,3.0
755,3.5
756,2.0
757,2.5
758,4.0
759,4.0
760,4.5
761,4.0
762,2.0
763,4.0
764,1.0
765,3.0
766,4.5
767,4.0
768,4.0
770,2.5
772,3.0
773,3.0
774,2.5
775,2.5
776,3.5
777,5.0
779,5.0
780,2.5
782,2.0
785,4.0
786,4.0
787,3.0
788,4.0
789,3.5
790,5.0
791,3.0
792,3.0
793,4.0
794,4.0
795,3.0
796,5.0
797,3.5
798,3.0
799,4.5
800,4.0
801,4.0
802,4.0
803,3.5
804,5.0
805,3.0
806,5.0
808,5.0
809,3.5
810,4.5
811,4.0
812,4.0
813,4.0
814,5.0
815,4.0
817,4.0
818,3.0
819,3.0
820,4.0
821,3.5
823,3.0
826,3.0
827,4.0
828,4.0
829,4.0
830,3.0
831,4.0
832,3.0
833,1.5
834,4.0
836,4.5
837,5.0
838,2.0
839,4.5
840,3.5
842,2.5
844,0.5
845,3.5
847,3.5
849,4.0
850,4.0
851,3.0
852,2.0
853,3.0
855,4.5
856,4.0
857,4.0
858,4.0
860,5.0
861,5.0
862,4.0
863,4.0
864,4.0
867,4.5
869,1.0
870,4.5
872,4.0
873,4.0
874,3.0
875,5.0
876,3.0
877,5.0
878,4.0
880,3.0
881,3.0
883,4.0
884,5.0
885,4.0
886,4.0
888,3.0
891,1.0
892,5.0
893,3.5
895,1.0
897,3.5
898,4.0
899,2.0
900,5.0
901,1.0
902,3.0
903,3.0
905,3.5
906,5.0
907,5.0
908,3.0
909,3.0
910,5.0
911,3.0
912,4.0
913,5.0
914,4.0
915,2.0
916,3.0
917,4.0
918,3.5
919,4.5
920,5.0
921,3.0
922,3.0
923,5.0
925,3.0
926,5.0
927,1.5
928,3.0
929,2.0
930,3.0
932,3.0
934,5.0
936,4.5
937,2.5
938,2.5
939,4.0
940,5.0
941,3.0
943,4.0
944,5.0
946,3.5
947,5.0
948,3.0
949,3.0
951,5.0
952,4.0
953,5.0
954,2.0
955,3.0
956,2.5
957,0.5
958,4.0
959,3.0
960,4.0
961,1.0
962,2.5
963,4.0
964,3.0
965,4.0
966,4.0
967,5.0
968,4.0
969,3.0
971,2.0
972,1.0
973,5.0
975,5.0
977,2.5
978,4.0
979,5.0
980,5.0
981,4.0
983,3.5
985,4.0
986,4.0
987,3.0
988,3.5
989,3.0
991,4.0
992,5.0
993,5.0
994,5.0
995,2.5
996,4.5
998,4.0
999,5.0
1000,5.0
1001,3.5
1002,4.0
1004,5.0
1006,3.5
1007,4.0
1010,5.0
1011,4.5
1012,3.0
1013,3.0
1015,4.0
1016,3.5
1017,4.0
1018,3.0
1020,2.5
1021,1.0
1022,4.0
1025,4.0
1029,5.0
1031,3.0
1032,5.0
1034,2.5
1035,5.0
1036,3.5
1037,5.0
1038,3.0
1040,4.5
1041,4.0
1042,4.0
1043,4.5
1044,4.0
1045,4.5
1046,5.0
1047,1.5
1048,4.0
1049,3.0
1050,3.5
1051,5.0
1052,4.0
1053,3.5
1055,0.5
1058,4.5
1059,4.0
1060,1.0
1061,4.5
1062,4.5
1063,4.5
1065,1.0
1067,4.0
1069,4.0
1070,5.0
1071,4.5
1072,4.5
1073,4.0
1074,4.0
1075,4.0
1076,4.0
1078,2.0
1079,4.0
1080,4.0
1082,5.0
1083,3.5
1084,3.5
1086,1.0
1087,4.5
1089,4.0
1090,3.5
1091,4.0
1092,4.5
1093,3.0
1094,5.0
1095,5.0
1096,5.0
1098,3.0
1099,3.0
1101,1.0
1102,4.0
1103,4.0
1104,4.0
1106,4.0
1107,2.5
1108,0.5
1109,3.5
1110,3.5
1111,3.0
1112,5.0
1113,4.0
1116,4.0
1117,3.0
1118,0.5
1119,5.0
1120,3.0
1121,5.0
1122,5.0
1123,5.0
1124,4.0
1125,4.0
1127,2.0
1128,3.0
1129,2.5
1130,2.5
1134,4.0
1135,5.0
1136,1.5
1137,5.0
1139,4.0
1144,4.0
1145,4.0
1146,5.0
1147,3.5
1148,3.5
1149,3.5
1150,3.0
1152,4.0
1153,4.5
1154,3.5
1155,3.0
1156,3.5
1157,4.0
1158,3.0
1159,3.5
1160,4.0
1161,5.0
1162,4.0
1163,5.0
1165,1.0
1166,5.0
1167,4.0
1168,1.5
1170,4.0
1171,2.0
1173,3.5
1175,4.0
1176,4.0
1177,2.0
1178,3.5
1179,4.0
1181,4.0
1182,3.0
1184,3.0
1185,1.0
1186,3.5
1187,5.0
1188,4.0
1189,3.0
1192,3.0
1193,3.0
1194,4.0
1195,2.0
1197,3.5
1198,3.5
1199,3.0
1200,4.0
1201,2.0
1202,1.0
1205,2.0
1206,5.0
1210,5.0
1211,5.0
1213,4.0
1214,3.0
1215,4.0
1216,2.5
1217,4.0
1218,4.0
1219,5.0
1220,4.5
1221,3.5
1222,4.0
1223,5.0
1224,4.0
1225,4.0
1227,4.0
1228,4.5
1230,3.5
1231,3.0
1232,3.0
1233,1.0
1235,4.0
1236,3.0
1237,2.0
1239,1.0
1240,4.0
1242,3.5
1243,3.0
1244,4.0
1245,4.0
1246,3.0
1247,1.5
1249,4.0
1250,4.0
1251,4.0
1252,5.0
1253,5.0
1256,3.5
1257,5.0
1259,3.5
1260,3.0
1261,3.0
1262,5.0
1263,4.0
1264,4.0
1265,4.0
1266,4.0
1267,2.5
1268,5.0
1269,4.0
1270,3.0
1271,4.5
1272,5.0
1273,4.0
1274,2.5
1275,1.0
1277,4.0
1279,5.0
1280,4.5
1281,2.0
1283,2.0
1284,4.5
1285,3.0
1287,4.0
1288,4.0
1289,4.0
1290,4.0
1291,5.0
1292,3.5
1293,4.0
1294,4.0
1296,4.0
1297,5.0
1298,3.0
1299,4.0
1300,3.5
1301,4.5
1304,4.0
1305,4.0
1306,4.0
1307,5.0
1309,5.0
1310,4.0
1313,4.0
1314,3.5
1317,4.5
1320,5.0
1322,5.0
1323,2.0
1325,3.0
1327,4.5
1328,2.5
1329,3.0
1331,2.0
1332,5.0
1334,4.0
1335,1.5
1336,5.0
1337,3.0
1338,5.0
1339,4.0
1340,3.5
1342,4.0
1343,3.5
1344,4.5
1345,3.0
1346,3.0
1347,5.0
1348,3.0
1349,5.0
1352,3.0
1353,4.0
1354,3.0
1355,4.0
1356,3.0
1357,3.0
1359,4.0
1360,3.0
1362,5.0
1363,2.5
1364,3.0
1365,3.0
1366,3.0
1367,4.0
1368,4.0
1369,4.0
1370,3.0
1371,4.5
1372,1.0
1373,3.0
1374,2.0
1376,2.5
1377,4.0
1378,2.5
1379,4.0
1380,1.0
1381,4.0
1382,5.0
1383,5.0
1384,5.0
1386,3.5
1387,2.0
1388,3.0
1389,4.0
1390,4.0
1391,2.5
1393,3.5
1395,3.5
1396,3.5
1397,2.5
1399,2.0
1400,3.0
1402,3.0
1404,5.0
1405,3.0
1406,3.5
1407,4.0
1408,4.0
1409,5.0
1410,3.0
1411,5.0
1412,2.5
1414,3.0
1415,4.0
1417,4.0
1418,0.5
1421,4.0
1423,4.0
1424,4.0
1426,3.5
1427,4.0
1429,4.5
1431,5.0
1432,4.0
1433,4.0
1434,3.0
1435,4.0
1436,4.5
1437,0.5
1438,5.0
1439,2.5
1440,1.5
1441,3.5
1443,4.5
1444,3.5
1445,1.0
1446,0.5
1447,3.5
1449,4.5
1450,4.0
1452,5.0
1453,3.0
1454,4.0
1455,4.0
1456,2.0
1457,3.5
1458,5.0
1459,1.5
1460,4.0
1461,4.0
1462,4.5
1463,4.0
1464,3.5
1465,4.5
1466,3.0
1467,3.0
1469,3.0
1470,4.0
1471,4.0
1472,5.0
1473,4.0
1476,3.5
1477,3.5
1478,3.0
1479,4.0
1480,1.5
1481,4.5
1482,4.0
1483,3.0
1484,4.0
1486,4.0
1487,4.0
1488,4.0
1489,0.5
1490,0.5
1492,3.5
1493,4.0
1494,3.5
1495,2.0
1496,3.0
1497,2.5
1498,4.0
1499,4.5
1500,3.0
1502,4.0
1503,5.0
1504,5.0
1505,4.0
1507,4.0
1510,3.0
1511,3.5
1512,1.0
1513,4.0
1514,2.0
1516,4.0
1517,3.5
1518,5.0
1519,1.5
1520,5.0
1521,4.5
1522,4.5
1524,4.0
1525,3.0
1526,3.5
1527,3.0
1530,1.5
1531,1.0
1533,3.0
1534,4.0
1536,4.5
1537,4.0
1538,3.0
1539,1.0
1540,3.0
1541,4.0
1542,4.0
1543,3.0
1544,5.0
1545,3.5
1547,1.0
1549,5.0
1550,4.0
1551,4.0
1552,4.0
1553,3.0
1554,2.5
1555,3.5
1556,3.0
1558,4.0
1559,0.5
1560,5.0
1562,4.5
1563,0.5
1564,3.0
1566,4.5
1567,5.0
1568,2.0
1569,2.5
1570,4.0
1571,4.0
1572,5.0
1573,4.5
1574,3.5
1575,4.0
1576,5.0
1577,3.5
1578,4.5
1581,3.0
1582,4.0
1583,4.0
1584,1.5
1585,4.0
1586,1.0
1589,2.0
1591,2.0
1592,3.0
1593,3.0
1594,3.5
1595,4.0
1596,5.0
1597,3.0
1600,3.5
1601,5.0
1602,2.0
1603,4.0
1604,1.5
1605,3.0
1606,4.0
1609,4.0
1610,3.5
1611,4.5
1612,4.0
1613,2.0
1616,5.0
1618,3.0
1619,3.0
1620,1.0
1621,3.5
1624,2.0
1625,2.0
1626,3.0
1627,4.5
1629,3.0
1630,4.0
1631,2.5
1633,2.0
1634,2.0
1635,5.0
1636,4.0
1640,1.0
1641,3.0
1642,4.0
1643,3.5
1644,5.0
1645,4.0
1647,4.0
1648,4.0
1649,4.0
1650,2.0
1651,1.0
1652,3.5
1653,4.0
1654,4.0
1655,1.0
1656,4.0
1657,5.0
1659,3.0
1660,4.0
1661,2.5
1662,5.0
1663,4.0
1664,2.5
1665,3.5
1666,3.0
1667,5.0
1668,3.5
1669,4.0
1670,1.5
1671,2.0
1672,4.0
1673,3.0
1675,4.0
1676,5.0
1677,4.0
1680,2.0
1681,3.0
1682,4.0
1683,4.0
1684,3.0
1686,4.0
1687,4.0
1688,5.0
1689,3.5
1691,4.0
1692,3.0
1693,3.0
1694,5.0
1695,3.0
1696,1.0
1699,4.5
1700,4.0
1701,2.0
1702,2.0
1703,5.0
1704,3.5
1706,5.0
1707,1.0
1710,3.0
1711,4.0
1712,4.0
1713,5.0
1715,5.0
1718,3.5
1719,5.0
1720,4.0
1721,3.5
1722,4.0
1723,2.5
1724,5.0
1725,3.0
1727,4.0
1728,3.5
1730,4.0
1731,3.0
1732,4.0
1733,4.0
1734,3.0
1735,3.5
1736,4.5
1737,1.5
1738,4.0
1739,4.0
1741,3.5
1744,1.0
1745,3.0
1746,3.0
1747,5.0
1748,4.0
1749,2.5
1750,5.0
1751,3.0
1753,4.0
1754,4.0
1755,5.0
1756,2.5
1757,2.5
1758,2.0
1760,1.5
1761,2.0
1762,1.5
1763,3.0
1764,4.0
1765,1.0
1767,5.0
1768,4.0
1769,4.0
1770,4.5
1771,5.0
1772,3.5
1774,1.0
1775,3.5
1776,4.5
1777,4.0
1778,2.0
1779,3.0
1780,3.0
1781,3.0
1782,4.0
1783,3.5
1784,4.0
1785,4.0
1786,4.0
1790,4.0
1791,3.0
1792,4.0
1793,3.5
1794,3.0
1795,4.0
1797,4.0
1798,4.0
1799,4.0
1801,4.0
1805,4.5
1806,5.0
1807,2.5
1808,4.0
1809,1.0
1810,4.0
1811,5.0
1812,4.0
1813,1.0
1814,2.0
1815,4.5
1816,3.0
1817,3.0
1818,0.5
1820,4.0
1822,3.5
1823,5.0
1824,1.0
1826,5.0
1827,0.5
1828,1.0
1830,5.0
1831,3.0
1832,2.5
1833,2.5
1834,2.0
1835,0.5
1836,4.0
1837,4.0
1838,4.0
1839,4.0
1840,5.0
1842,4.0
1844,2.0
1845,4.0
1846,4.0
1847,1.5
1848,4.0
1850,3.5
1851,3.5
1853,4.0
1854,4.0
1855,5.0
1857,3.5
1858,4.0
1859,1.0
1860,5.0
1862,4.5
1863,4.0
1866,5.0
1867,3.0
1868,5.0
1869,3.0
1870,1.0
1871,3.5
1872,3.0
1873,4.0
1874,5.0
1875,4.0
1876,4.0
1877,3.0
1878,2.0
1880,2.5
1883,1.0
1884,4.0
1885,5.0
1887,3.0
1889,3.0
1890,4.5
1891,4.0
1892,3.0
1893,4.0
1894,5.0
1896,4.0
1897,4.0
1900,3.5
1901,4.5
1902,1.0
1903,3.0
1905,3.5
1906,4.0
1908,4.0
1910,4.0
1911,5.0
1912,1.5
1913,3.0
1914,4.0
1915,1.0
1916,2.5
1917,4.0
1918,4.0
1919,4.0
1922,4.0
1923,4.5
1924,3.5
1925,3.0
1927,4.0
1928,2.5
1930,5.0
1931,4.5
1932,2.0
1935,3.0
1936,3.0
1937,3.0
1938,4.0
1939,3.5
1940,1.0
1941,4.0
1942,2.5
1945,2.5
1947,3.5
1948,5.0
1949,4.0
1950,4.0
1951,4.0
1952,5.0
1954,3.5
1955,5.0
1956,3.5
1957,3.0
1958,3.0
1959,2.0
1960,4.0
1961,4.0
1962,5.0
1964,1.0
1965,4.0
1966,3.5
1967,3.0
1969,3.0
1970,3.0
1972,3.0
1973,4.0
1974,5.0
1975,5.0
1977,5.0
1978,5.0
1979,4.0
1980,3.0
1981,2.5
1982,2.0
1983,3.0
1984,4.0
1985,3.0
1986,3.0
1987,3.0
1989,2.5
1990,3.5
1991,2.0
1992,4.0
1994,5.0
1995,4.5
1996,4.0
1998,4.0
1999,3.5
2000,3.0
2001,3.0
2002,4.0
2004,4.0
2005,4.0
2006,5.0
2007,3.0
2008,3.5
2009,5.0
2010,4.0
2011,4.0
2012,4.0
2013,3.0
2014,3.0
2015,4.0
2016,5.0
2017,4.5
2018,4.0
2019,4.0
2020,5.0
2022,4.0
2023,4.0
2024,5.0
2025,3.5
2026,3.0
2027,3.0
2029,3.0
2030,4.0
2031,4.0
2032,2.0
2033,3.5
2035,5.0
2036,4.0
2037,1.0
2038,3.0
2039,4.0
2040,4.0
2041,3.0
2042,3.0
2043,4.5
2044,2.0
2046,3.0
2047,4.0
2049,3.0
2050,1.5
2051,4.5
2052,2.0
2056,1.0
2058,4.0
2059,3.5
2060,3.5
2061,4.0
2062,1.5
2063,4.0
2064,4.0
2067,3.0
2068,3.0
2070,1.0
2072,4.0
2074,3.0
2076,3.0
2077,3.0
2078,4.0
2079,4.5
2080,5.0
2082,4.0
2083,2.0
2087,4.0
2088,4.0
2089,5.0
2092,2.0
2093,3.5
2094,2.0
2095,3.0
2098,3.0
2099,2.5
2100,4.0
2101,5.0
2104,3.0
2105,4.0
2106,3.0
2107,2.5
2108,4.0
2109,4.5
2110,5.0
2111,2.5
2112,4.0
2113,4.5
2114,3.5
2115,4.0
2116,5.0
2117,3.0
2118,4.0
2119,4.0
2120,3.0
2121,5.0
2122,3.0
2123,3.0
2124,3.5
2126,4.0
2129,5.0
2130,4.0
2131,4.0
2132,4.0
2133,3.0
2134,2.0
2135,1.0
2136,4.0
2137,4.0
2138,3.5
2139,2.0
2141,3.5
2142,3.0
2144,3.0
2146,3.0
2147,4.0
2149,3.5
2152,3.0
2153,4.0
2154,3.0
2155,4.0
2156,4.0
2157,3.5
2158,3.0
2159,5.0
2160,2.0
2161,3.0
2162,4.0
2164,2.0
2165,4.0
2166,3.5
2167,3.5
2168,3.0
2169,4.0
2171,3.0
2172,3.0
2173,4.0
2174,3.0
2175,5.0
2176,0.5
2178,4.0
2180,3.5
2181,4.0
2182,2.0
2183,4.5
2184,3.5
2185,3.0
2186,2.5
2188,4.0
2189,4.5
2190,4.0
2191,4.0
2192,5.0
2193,3.0
2196,3.5
2197,4.0
2199,4.0
2200,5.0
2201,4.0
2202,2.0
2203,3.0
2204,3.5
2205,0.5
2207,5.0
2211,3.5
2212,4.5
2213,3.0
2214,4.0
2215,2.0
2216,3.0
2219,2.5
2220,4.0
2221,3.0
2222,4.0
2223,3.0
2226,1.0
2227,3.5
2230,2.5
2231,3.0
2232,3.0
2233,3.0
2234,3.0
2235,4.0
2236,4.0
2237,3.5
2239,4.0
2240,4.5
2241,2.0
2242,3.0
2243,3.0
2245,4.0
2248,5.0
2250,3.0
2251,4.5
2252,3.5
2253,4.5
2254,1.5
2255,4.0
2256,4.0
2260,4.0
2261,3.0
2262,2.0
2263,2.0
2264,0.5
2265,4.0
2266,2.0
2267,4.0
2268,5.0
2269,3.0
2270,5.0
2272,4.0
2273,4.0
2274,2.0
2275,4.0
2276,3.5
2277,4.0
2278,1.5
2279,4.5
2280,5.0
2281,4.0
2282,3.5
2283,4.0
2284,3.5
2285,4.0
2286,3.5
2287,2.5
2288,4.0
2289,3.0
2291,4.0
2292,4.0
2293,3.0
2294,3.0
2295,5.0
2296,5.0
2298,4.5
2299,3.0
2300,4.0
2301,5.0
2302,5.0
2303,2.0
2304,4.5
2308,2.0
2309,4.0
2310,3.0
2311,2.0
2312,4.0
2313,4.0
2314,2.0
2315,3.5
2317,5.0
2318,4.5
2319,3.0
2321,5.0
2323,3.0
2324,4.0
2325,4.0
2326,4.0
2327,4.0
2328,2.0
2329,5.0
2332,4.0
2333,4.5
2334,2.0
2335,4.0
2337,3.5
2338,5.0
2339,0.5
2340,4.0
2341,2.5
2342,1.5
2343,4.0
2344,4.0
2345,3.0
2346,3.0
2347,5.0
2348,1.0
2350,2.0
2351,5.0
2352,3.0
2354,4.0
2357,3.0
2359,3.5
2360,5.0
2361,5.0
2362,3.0
2363,3.0
2364,4.0
2365,4.0
2366,3.0
2367,5.0
2369,2.0
2370,5.0
2371,5.0
2372,5.0
2373,4.0
2374,3.0
2375,4.0
2376,4.0
2377,4.5
2378,4.0
2379,3.0
2380,3.0
2382,2.0
2383,4.0
2384,5.0
2385,4.0
2387,3.0
2389,3.5
2390,3.0
2391,5.0
2392,2.0
2393,4.0
2394,2.5
2396,4.0
2397,4.5
2398,3.0
2399,3.0
2400,3.0
2401,3.0
2403,4.5
2404,5.0
2405,4.0
2406,4.5
2407,2.5
2408,4.0
2409,5.0
2410,2.5
2411,4.0
2412,4.5
2413,3.5
2414,4.0
2416,4.0
2417,4.0
2418,2.5
2419,3.5
2420,3.0
2421,3.5
2422,4.0
2423,0.5
2424,3.0
2425,3.0
2426,5.0
2427,5.0
2428,1.0
2429,1.5
2430,4.0
2431,4.5
2432,3.5
2433,4.0
2434,5.0
2435,5.0
2436,4.0
2440,4.0
2443,4.0
2444,5.0
2445,2.0
2446,4.5
2447,5.0
2448,5.0
2449,3.0
2450,3.5
2451,3.0
2452,4.0
2453,2.0
2454,5.0
2455,3.0
2456,4.0
2457,4.5
2458,4.0
2459,4.0
2461,4.0
2462,5.0
2463,5.0
2464,4.0
2465,2.5
2468,2.0
2469,4.5
2470,4.5
2471,4.0
2473,2.0
2474,3.0
2475,4.0
2476,2.0
2477,4.0
2478,3.0
2479,4.0
2480,1.0
2481,4.0
2483,4.0
2484,4.0
2485,5.0
2486,4.0
2487,4.0
2488,4.5
2489,4.0
2490,5.0
2492,3.5
2493,2.0
2494,5.0
2496,3.0
2497,2.5
2498,3.0
2499,5.0
2500,5.0
2501,4.0
2502,5.0
2503,3.0
2504,4.0
2505,5.0
2506,2.0
2510,2.0
2511,2.5
2512,5.0
2513,5.0
2514,5.0
2515,2.0
2516,4.0
2517,2.5
2519,3.0
2520,5.0
2521,3.5
2524,3.0
2525,4.0
2526,2.0
2527,5.0
2528,5.0
2529,4.0
2530,2.0
2531,3.0
2532,4.0
2534,5.0
2536,1.0
2539,5.0
2540,4.0
2541,4.0
2542,3.5
2543,3.5
2544,5.0
2545,4.5
2546,3.5
2547,3.5
2549,5.0
2551,4.0
2552,4.0
2553,4.0
2554,2.0
2555,5.0
2556,4.0
2557,3.0
2558,5.0
2559,3.5
2560,4.0
2561,3.0
2563,2.0
2567,5.0
2568,5.0
2569,4.0
2570,5.0
2571,4.0
2572,1.0
2573,4.0
2575,2.5
2576,3.5
2577,2.0
2578,3.5
2579,4.0
2580,3.0
2581,5.0
2582,3.5
2583,0.5
2584,3.5
2585,0.5
2586,5.0
2587,3.0
2588,0.5
2589,3.0
2592,3.5
2594,2.5
2595,3.0
2596,2.5
2597,3.5
2598,2.0
2599,4.0
2601,4.0
2602,2.5
2603,5.0
2605,5.0
2606,5.0
2607,4.0
2608,3.5
2610,3.0
2611,5.0
2612,5.0
2613,4.0
2614,5.0
2616,5.0
2618,1.5
2619,2.0
2620,5.0
2622,4.0
2623,4.0
2624,3.0
2627,2.0
2628,4.0
2630,3.5
2631,3.0
2632,5.0
2633,4.5
2635,3.0
2638,3.5
2640,4.0
2641,4.0
2642,2.5
2643,4.0
2645,1.0
2647,4.0
2648,3.0
2649,4.5
2650,1.0
2651,5.0
2652,4.0
2653,3.0
2655,4.0
2656,4.0
2657,4.0
2658,3.5
2659,3.5
2660,3.5
2661,3.5
2663,4.0
2664,4.0
2665,4.5
2667,3.5
2668,3.0
