user,movie,rate
2378,4257,3.0
2595,1182,5.0
1405,6052,4.0
628,5572,4.0
82,8422,3.5
1713,2702,3.5
292,2457,4.0
1615,7567,4.0
3302,5327,5.0
2945,6587,2.5
2049,17157,4.0
1426,2692,4.0
1426,6467,0.5
2826,3462,3.5
810,927,4.5
201,8962,3.0
4128,2612,4.5
1531,3227,3.0
1426,1607,2.0
1251,11537,3.5
320,21792,3.0
964,8177,5.0
33,6357,3.0
1552,29027,4.0
1916,17602,4.0
1440,3197,4.0
817,2922,4.0
544,6567,3.5
747,2762,3.0
271,16552,5.0
712,1387,3.0
2812,967,5.0
873,10437,3.5
306,1772,3.0
1734,44197,5.0
831,4137,5.0
2742,2132,4.5
2798,2507,4.0
537,1092,3.5
1615,3912,4.0
705,5587,4.0
2287,6032,1.5
1328,1972,3.0
1104,5292,3.5
306,6002,3.0
4590,592,4.5
3897,12007,3.0
796,1832,4.0
1790,24857,4.0
152,8017,4.0
1300,23452,1.0
1006,20987,5.0
1251,16437,2.0
1713,3787,5.0
810,2112,3.5
397,7692,3.0
2595,11042,4.0
481,26477,1.5
3197,8882,4.0
1146,14657,3.0
3701,1747,4.5
1685,1532,3.0
3568,2182,3.0
1286,2972,5.0
2357,3472,4.5
19,13282,4.0
467,4282,4.5
82,17252,4.0
3708,6357,5.0
3267,6032,3.5
2924,3762,5.0
747,2827,4.0
2294,3312,3.5
782,15437,1.0
306,12327,2.5
2357,3177,4.5
1440,10712,3.0
3855,7822,3.0
1545,3522,5.0
3302,6562,4.0
3519,1907,4.0
2371,17,3.0
2504,952,5.0
82,3927,5.0
712,2587,3.0
852,4102,4.0
264,6812,3.0
1496,417,3.5
1951,7452,2.5
2112,1547,3.0
922,27512,3.5
873,1892,3.0
698,3467,3.0
838,3957,3.5
2770,4012,3.0
1251,5482,3.5
712,1397,3.0
1272,4437,3.5
3414,3177,4.5
383,13352,4.0
2378,10217,3.5
467,3762,4.0
306,14517,3.5
320,39417,4.0
4464,5112,4.0
628,337,4.0
3617,2352,4.0
82,28037,1.0
397,22467,2.0
684,6577,1.0
2875,1637,5.0
2602,1967,5.0
1741,6127,3.0
2875,2622,4.5
1132,2037,3.0
537,337,5.0
1944,6057,5.0
2392,17442,4.0
614,1572,4.0
474,3472,2.5
2539,8552,3.0
467,2462,4.5
2959,31057,3.0
698,14007,5.0
789,1182,4.0
1545,7637,5.0
1559,9202,5.0
19,6377,4.0
1972,1972,5.0
320,5027,3.0
82,10917,2.0
355,6627,4.0
257,7167,3.0
54,11142,3.5
1111,23867,3.0
1104,21277,4.0
894,7882,3.5
873,5427,4.5
194,4352,3.5
306,237,4.5
2735,4692,4.0
1363,1967,4.0
180,1037,5.0
1426,622,3.0
817,717,5.0
782,25882,3.0
3260,1192,0.5
306,7907,3.0
789,2552,4.0
4569,14737,2.5
474,907,5.0
180,29512,3.0
3022,16157,4.0
1496,8167,4.0
1111,3057,4.0
2021,777,3.5
1384,8042,4.5
201,8927,1.0
1006,2917,4.0
362,3057,3.0
278,2657,2.5
285,6502,5.0
614,6897,3.0
565,342,3.0
1286,4132,5.0
453,6747,5.0
1111,10177,5.0
124,6072,2.5
61,897,3.0
2392,6917,4.0
2294,2437,4.5
1622,362,5.0
509,2352,5.0
1790,452,2.0
3057,6167,1.0
1202,352,4.0
1993,26452,3.0
1741,2367,4.0
355,672,1.5
908,1462,4.0
26,4127,4.0
1629,532,5.0
873,572,3.0
1370,1632,4.0
2630,1282,5.0
250,5747,3.0
3498,25362,5.0
180,22932,3.5
1916,2947,4.5
1090,2012,2.0
1496,24522,4.0
1006,35732,4.0
264,907,4.0
1748,10752,3.5
271,36442,3.0
530,1032,4.5
1923,997,2.0
684,10202,4.0
1972,10002,5.0
1559,16762,4.0
2364,3762,4.0
1510,5632,4.0
222,4517,3.5
257,1832,4.5
1825,957,4.0
964,12382,2.5
3218,1427,4.5
3505,5572,4.5
3925,2812,5.0
2595,437,3.5
285,7017,4.0
4548,2012,3.0
1167,23872,4.0
1496,2667,1.0
1664,822,5.0
4121,967,4.0
3155,12432,4.0
2889,6157,3.0
3295,332,4.0
2896,887,3.0
75,2622,5.0
481,24227,2.5
1538,7842,4.0
1916,10332,4.0
1783,17452,3.0
306,7152,4.5
1629,2357,4.0
1426,1457,5.0
873,2837,2.5
285,5447,4.0
3351,7507,3.0
1790,6787,5.0
684,11262,4.0
1440,21142,2.0
285,2297,4.0
1643,1867,4.0
782,32742,5.0
3834,732,3.0
404,4902,3.0
2770,3262,5.0
390,4537,4.0
12,5282,4.0
306,1607,2.5
873,4102,2.5
544,19957,3.0
110,12087,3.5
3904,5967,4.0
873,24252,4.0
285,7392,5.0
1706,2827,5.0
3393,20082,4.0
2462,1262,4.0
264,5967,3.0
2882,15692,3.5
2896,2017,3.5
3659,527,3.0
873,20627,3.0
320,34572,4.0
243,3662,3.0
453,12657,4.0
985,3852,4.0
2805,337,3.0
1741,3057,4.0
82,5402,3.0
663,13042,4.0
1300,8002,3.5
180,21732,3.5
1643,2202,4.0
502,27,4.0
2945,6407,4.5
320,7592,4.0
894,3802,4.5
4506,14432,2.0
383,23172,0.5
2364,24387,3.5
110,9897,2.0
1426,31182,4.5
383,13787,2.0
390,13187,3.0
740,22497,4.0
271,19157,4.0
2133,2207,3.5
2287,1592,4.0
89,14472,3.5
2532,1897,5.0
1685,1882,1.0
2882,737,3.0
761,1567,4.0
754,9307,4.0
1069,882,4.5
397,787,2.5
719,1532,4.0
2595,13977,3.5
1111,12592,4.0
1433,1092,3.0
3393,8822,3.0
3218,5607,4.5
1902,3037,4.0
327,222,4.0
1426,5427,3.0
82,20672,3.0
1125,23087,3.5
68,1197,3.5
1153,1457,4.0
2210,4722,4.0
873,4327,4.0
852,2972,5.0
96,342,5.0
2077,5292,1.5
306,12592,3.0
26,5442,3.0
1468,1947,4.0
1832,8462,4.0
2889,8637,5.0
19,7582,4.0
684,1707,3.0
271,2082,2.0
3085,13922,4.5
2301,3717,5.0
1741,18167,3.0
2385,4622,3.0
754,26317,5.0
1790,2312,3.0
887,5077,4.5
2259,3992,3.5
481,8487,2.0
1321,12527,4.0
306,727,2.5
3757,5807,4.0
873,22687,4.5
1335,38372,4.5
1237,5972,3.0
82,42022,2.5
747,17,2.5
537,18762,4.0
208,6312,3.5
2532,4372,4.0
1776,402,5.0
3057,4792,1.0
1125,12107,5.0
1405,1907,3.0
3603,4617,3.0
3281,5572,5.0
1475,5587,5.0
1734,6547,4.0
404,1632,4.0
2875,12122,4.5
1083,1632,2.0
992,1987,4.0
2994,3462,4.0
68,18982,4.0
271,7692,3.0
404,5682,5.0
3603,2182,2.0
2140,29872,5.0
418,14612,4.0
4282,2552,3.0
3190,15777,5.0
712,1147,4.0
1272,9682,0.5
2077,3947,4.0
2294,11722,4.0
1342,8382,5.0
831,10732,3.5
19,4452,3.0
1013,12027,4.5
110,4447,3.0
278,11142,3.5
1132,5407,4.0
1671,6777,3.0
1615,14202,4.0
285,22782,3.0
3274,4887,2.5
656,2622,4.0
1804,4187,3.0
831,20057,5.0
3218,24887,2.0
3876,6952,2.5
565,2407,4.5
481,31752,1.5
82,6427,3.0
1643,7902,5.0
1615,32,3.0
2231,1347,4.5
1041,22127,3.0
425,257,5.0
2098,27497,2.5
285,87,4.0
481,8117,3.5
4464,1632,3.0
2049,527,0.5
2385,7947,5.0
873,2112,5.0
1202,2037,3.0
2777,2987,4.0
2077,4537,5.0
1286,362,3.0
2140,3852,3.0
1237,26337,3.0
845,522,4.0
957,17122,4.0
306,13922,2.5
264,2092,3.0
3302,4692,4.0
404,3207,4.0
2196,427,4.0
1041,10432,5.0
2448,642,3.0
180,37567,3.5
1433,122,3.5
922,7107,4.0
341,4027,4.0
3246,1892,5.0
614,7312,3.5
1125,12987,1.0
803,20007,2.0
1986,1212,3.5
1426,182,4.0
1013,3062,4.0
19,1892,4.5
607,7847,2.5
1069,6167,4.5
3232,1982,5.0
3554,2417,4.0
719,122,4.5
1426,2202,4.0
110,1847,1.5
621,832,2.0
474,2732,5.0
551,642,5.0
2427,10597,1.5
26,8037,4.0
180,5462,3.0
2490,567,3.0
2315,2357,4.0
4422,5797,3.0
1580,5507,4.0
1671,172,3.0
838,11657,4.0
61,8492,3.0
2084,12522,5.0
481,6177,2.5
1020,9412,4.0
719,2517,4.5
229,15777,4.0
1944,5442,5.0
1818,2857,3.0
1454,912,5.0
922,1987,3.5
873,3337,2.0
26,2782,5.0
1349,24912,1.5
1573,25942,1.0
26,11382,4.0
3519,492,3.0
481,1302,2.0
1230,17967,2.0
390,5132,4.0
2154,882,4.0
740,11362,3.0
320,4677,2.0
4485,13012,3.5
19,12327,4.0
1083,1182,5.0
936,18612,3.5
3519,3307,5.0
2847,16327,3.0
1314,87,3.0
453,882,4.5
3337,847,4.0
698,6802,2.0
75,9352,3.5
1524,25577,4.5
894,8507,3.5
362,4582,3.0
824,14132,4.0
3862,20892,4.0
3631,2312,5.0
12,15337,4.0
4674,1797,4.0
180,31997,2.0
1860,9047,2.0
1069,4167,4.0
3652,1297,4.5
1181,2512,3.0
1202,557,4.0
96,4752,5.0
1034,17087,4.0
1706,28427,4.0
201,1327,4.5
1146,11407,4.0
201,847,4.0
1272,19817,4.0
873,8667,2.5
607,6582,2.0
467,26027,4.5
810,37192,4.5
2742,3177,5.0
1895,5147,5.0
12,12872,4.0
292,8472,3.5
82,3547,3.5
3078,5837,1.5
3435,8192,3.5
481,832,2.0
2308,10977,5.0
82,3202,1.5
1783,5162,3.0
75,22232,1.5
82,27222,4.0
1244,22497,4.0
180,5582,3.5
383,17867,3.5
3981,21227,3.5
1146,952,4.0
82,6032,2.5
2315,8042,5.0
2378,6547,3.5
1496,192,1.5
824,8392,5.0
1440,29697,3.0
96,2057,5.0
411,3787,4.5
4135,3082,3.5
383,17247,3.5
3953,2242,2.5
4261,1477,5.0
558,8987,3.5
3603,882,4.0
2070,292,4.0
439,24272,4.0
257,29397,4.5
4030,35087,1.0
404,11052,4.0
82,3357,4.0
2630,6357,3.0
1041,19432,4.0
481,29312,3.0
180,1547,4.5
1076,402,5.0
145,952,5.0
635,24092,3.5
684,1817,4.0
1125,26302,4.0
306,19717,3.5
4492,22687,3.0
54,13487,4.0
1797,9777,4.0
26,26502,5.0
572,17652,5.0
89,5627,2.5
1237,20657,4.0
558,2987,4.5
404,18997,4.0
3225,7437,3.0
873,2827,4.0
971,1372,3.5
936,6587,3.0
3897,13817,3.5
2196,82,3.0
264,27932,3.0
1615,1917,5.0
201,2147,3.0
3806,62,3.0
2175,3307,3.0
4247,5107,4.0
3470,3642,3.5
3477,92,0.5
306,19512,3.5
1636,8882,5.0
383,45132,1.0
3778,18037,2.5
698,7812,5.0
3841,10882,4.0
1300,22302,1.0
691,1402,4.0
957,272,1.0
1132,2622,3.5
285,552,4.0
1006,502,2.0
152,8822,4.0
698,1307,3.0
243,15707,4.5
1363,2132,4.5
2770,7822,1.0
838,1957,4.0
2077,5967,4.0
698,17492,2.0
201,7492,2.5
2112,5967,3.0
4212,277,4.0
1643,4782,4.0
3288,14287,5.0
2140,532,5.0
1916,3847,3.5
341,13332,4.0
845,11952,3.0
2119,2947,4.5
1909,1232,1.0
3393,7122,4.0
2133,11032,5.0
110,1357,0.5
467,9842,4.5
355,777,3.5
1174,14912,1.0
712,28477,2.0
481,13517,2.5
82,39227,2.5
383,2632,5.0
635,26112,2.5
26,23747,4.0
817,1597,4.0
75,16502,3.0
1300,17587,3.0
3743,9877,4.0
607,18957,3.0
3400,3387,3.0
747,592,3.5
3316,12497,2.0
2980,6702,3.0
3344,1442,4.0
1531,41342,1.0
1132,1457,4.5
383,15742,1.5
1006,28622,5.0
901,4237,5.0
3036,2012,3.0
873,20822,3.5
2399,20382,5.0
12,7882,3.0
922,2972,3.5
3036,7207,2.0
3498,1637,2.5
320,3277,4.0
3659,1037,4.0
2315,2722,4.5
257,7622,4.0
2119,6782,2.0
1440,16092,4.0
1125,8747,1.0
607,5112,3.0
271,14092,4.5
1895,5657,4.0
2532,3757,4.0
754,1372,4.5
1349,877,2.5
684,5052,4.0
3491,1802,3.0
4520,4622,3.0
747,8657,2.5
747,1277,2.5
782,13522,3.5
922,10452,5.0
985,7567,3.0
2742,12242,5.0
971,3312,2.5
712,2857,3.0
3393,1987,2.0
390,4917,3.0
82,12712,3.5
271,17382,4.0
1790,3962,4.0
341,3682,3.0
999,12897,4.0
2259,22787,3.5
1853,3067,5.0
1328,912,3.0
1111,7382,3.0
1041,4522,4.0
1895,8537,4.0
537,2017,3.0
3176,12872,5.0
306,1907,3.5
2098,882,3.0
264,2252,4.5
1146,557,4.0
2301,1842,4.0
873,14967,4.0
635,29567,3.5
96,2947,5.0
1349,277,3.0
873,26487,5.0
908,10217,4.0
3631,967,5.0
12,232,3.5
1013,1217,4.5
537,442,4.0
1041,12592,4.0
82,262,4.0
3925,1457,5.0
285,27817,4.0
467,3307,3.0
2098,12782,4.0
1125,3957,3.0
1055,192,3.0
1580,15782,4.0
4625,292,3.5
3253,2182,1.5
187,6122,3.0
320,12102,4.0
89,32332,3.0
390,1147,3.0
1146,27,4.0
1258,357,4.0
635,16622,4.0
1132,1397,3.0
1426,21322,4.0
390,887,3.0
1398,12982,1.5
1783,27442,4.0
1153,19427,3.0
558,5042,4.5
656,3907,5.0
201,3922,2.0
1300,1877,4.5
306,5767,3.5
75,38067,1.5
1125,14542,2.5
3645,6497,5.0
208,21112,0.5
2287,11772,3.5
621,3957,4.5
558,2017,3.5
810,1567,4.0
544,6562,4.0
404,10517,4.0
264,8347,3.0
383,1937,2.0
1440,41787,3.0
838,642,5.0
1195,17,4.5
1468,17122,4.0
208,662,4.0
3120,6057,4.0
782,1667,4.5
3540,6497,5.0
285,19042,5.0
82,11622,4.0
12,4737,4.0
271,26022,4.0
2007,102,5.0
3071,2352,4.0
2553,4077,4.5
3505,5597,3.5
2455,26767,1.0
2742,14512,4.5
82,10387,3.0
187,1192,4.0
201,7362,4.0
271,5177,3.0
2742,4437,5.0
75,25957,3.0
3715,3167,5.0
383,2202,4.0
3421,567,4.0
1405,9687,3.0
264,18472,3.0
1475,30622,4.0
180,25712,4.0
1237,12847,5.0
1615,7312,4.0
264,35702,4.0
1412,20957,1.0
82,9407,3.0
677,6407,3.0
75,32292,2.0
2077,29167,1.0
1545,12542,5.0
3071,3092,3.5
1202,1512,1.0
3225,19802,1.0
2231,22392,4.5
537,5482,3.5
1202,22862,4.0
873,2402,2.0
1790,11707,5.0
635,3052,1.0
1300,2507,3.0
1678,5177,3.0
2868,31227,3.0
2133,912,3.5
26,26132,5.0
4450,5227,5.0
61,17042,3.0
1811,3307,3.0
1468,7387,5.0
754,7757,3.0
4100,1842,4.0
3106,2312,5.0
1153,9412,4.0
1615,5262,2.0
82,10572,3.0
2021,3912,4.0
110,7662,3.5
19,1402,4.5
1468,31327,5.0
663,13802,3.0
1111,2772,3.0
1615,11072,5.0
2175,19967,3.0
3904,3307,3.0
1930,967,5.0
383,6277,1.5
1860,8172,3.0
89,8842,2.0
1244,5767,3.0
306,4382,3.0
341,21277,3.0
4422,822,4.0
1370,927,5.0
1300,16117,4.5
1013,24412,4.5
565,462,2.5
383,6607,2.5
1678,5082,4.0
3743,357,5.0
1174,2037,3.0
278,7037,4.0
1146,10217,4.0
96,892,5.0
124,12252,3.5
782,22647,3.5
4366,20497,5.0
320,5367,3.0
3106,5747,3.0
2014,8467,3.5
3155,427,5.0
516,4697,4.0
3400,8457,5.0
250,16247,2.0
2861,5062,3.0
397,3207,2.5
3092,23377,0.5
2756,22467,4.0
677,2182,3.0
1300,24097,4.0
152,39912,1.0
873,6802,2.5
1727,14047,4.0
2140,22302,3.0
404,3587,4.0
1041,22552,4.0
1167,1212,5.0
2364,15017,4.0
3169,13332,3.0
306,3647,3.0
89,18597,2.0
1706,2562,1.0
376,13507,5.0
838,9272,4.5
131,3312,5.0
180,1892,3.5
3498,5667,2.5
754,4202,4.0
404,7042,5.0
1202,15787,5.0
1055,11667,4.0
1440,15447,2.0
439,727,3.5
782,7872,4.0
1111,11957,4.0
4184,1792,4.0
845,672,3.0
180,2982,3.5
635,37572,3.0
1790,25857,4.0
523,9372,4.0
2700,2377,5.0
180,2332,5.0
404,6037,5.0
1748,16437,2.5
2126,2592,4.5
82,12727,4.5
75,1342,4.0
1790,16437,5.0
96,5797,5.0
614,1632,3.5
929,9017,4.0
152,4642,3.0
376,6387,5.0
1853,427,5.0
117,3407,3.5
2665,32917,4.0
3288,3397,4.5
1426,5697,4.0
152,4382,5.0
4170,2552,4.5
1300,37,3.0
635,2237,3.0
1041,5682,5.0
61,7667,4.0
810,6167,3.5
19,6987,4.0
3078,9942,3.0
4527,11537,3.0
635,30522,2.5
1993,1222,1.0
320,19087,4.0
3232,6057,4.0
3498,4017,4.0
3148,1397,4.0
1440,4337,2.0
957,6907,3.0
3155,1007,3.0
2126,7792,5.0
1895,7932,5.0
1174,3642,3.0
1034,957,5.0
390,12947,3.0
3078,13052,2.5
131,5137,5.0
481,932,3.5
1615,4282,5.0
61,25942,3.0
173,1772,1.0
180,21317,4.5
376,16877,4.0
3043,1182,4.0
2525,2057,4.5
4240,4297,4.0
3652,37,4.5
383,10117,5.0
481,1222,1.5
1426,9237,4.0
1300,657,3.0
1867,862,3.5
2973,2752,5.0
1426,20877,4.0
222,237,3.5
1174,24937,2.0
278,2052,0.5
1426,19432,3.5
3540,1832,5.0
2378,5522,4.5
712,21682,4.0
2931,8217,1.0
2077,5817,4.5
3176,4022,4.5
1608,20877,4.5
75,36512,3.5
1405,3557,1.0
2343,1727,4.0
1195,4382,4.0
201,6882,2.5
3071,13977,4.0
1734,887,5.0
446,16367,4.5
2294,3912,4.5
3799,14102,4.0
712,5917,4.0
1405,3612,4.0
96,21147,4.0
61,8177,3.0
1566,2057,2.0
509,3792,4.0
2693,8167,4.0
3295,617,3.5
3722,2707,5.0
306,12077,3.5
222,1637,3.5
334,7707,4.0
873,25462,1.0
1713,9587,4.5
3015,7097,4.0
1286,18462,4.0
2021,6527,3.5
1125,19987,4.0
838,22947,4.5
712,12587,3.0
1048,2512,5.0
2574,887,5.0
992,1232,5.0
2077,5327,4.5
4072,7342,3.0
2371,9692,3.0
1566,10607,3.5
2756,5647,1.0
726,747,4.0
1811,29437,4.0
2392,6527,4.0
4380,3762,4.0
257,13047,4.0
1349,6217,2.5
1300,18222,0.5
1069,7077,3.5
383,20882,3.5
712,3682,3.0
299,2512,5.0
1832,11107,4.0
3211,1302,4.0
3722,7262,4.0
3288,7607,4.0
222,25572,3.0
873,30322,0.5
61,1107,5.0
614,10732,3.0
3183,4147,5.0
404,10842,5.0
19,567,5.0
2868,532,4.0
2973,2837,4.0
1055,28057,1.0
250,1907,2.0
2371,692,3.0
1020,2082,2.5
313,9662,2.5
684,2032,1.0
1804,12202,2.5
82,732,3.5
530,10532,4.0
2049,12122,5.0
922,27212,1.5
61,592,5.0
264,6182,2.5
19,6952,4.0
4408,4082,3.5
4653,14267,4.0
537,7882,3.0
82,23952,3.0
3505,1232,4.0
3764,8347,4.0
82,18052,5.0
607,102,3.5
2602,422,3.5
2868,38757,3.5
89,6162,3.0
1111,9437,4.0
3106,3477,4.0
530,17222,4.5
810,5042,3.5
1524,4337,3.0
2427,23342,3.5
187,19087,4.0
537,3267,3.0
1867,2617,3.5
3652,2512,4.0
285,19957,5.0
3519,422,4.0
2035,2687,5.0
1685,7852,4.0
320,6967,1.0
978,1232,5.0
1013,377,4.0
2875,16102,1.5
873,32962,5.0
320,2762,4.0
712,7812,2.0
523,37,5.0
481,5622,3.5
383,9307,4.0
1496,647,4.0
1958,2947,4.0
3890,19022,2.0
614,1532,3.5
3351,11612,4.0
2399,2632,5.0
922,4027,4.0
82,27292,3.0
481,3947,3.5
264,22277,3.0
698,10197,1.0
1748,4912,3.5
558,15537,5.0
1545,547,4.0
264,8112,3.0
614,5482,2.5
873,15337,3.0
3841,887,3.0
124,11667,3.0
1440,28527,4.0
404,22582,2.0
4163,3902,3.0
614,2082,3.5
607,14027,3.5
3904,832,3.0
1188,8212,4.0
1426,24957,2.0
2203,22632,1.0
1167,3037,3.0
698,427,1.0
26,6592,2.0
369,2857,5.0
2574,17977,3.0
82,15277,3.0
222,7057,3.5
1559,16402,5.0
2077,792,5.0
2553,107,3.0
544,7142,4.0
845,1442,3.0
285,227,4.0
1426,7177,2.5
747,11557,4.0
313,15367,4.0
2224,747,5.0
516,2132,4.5
446,18372,3.5
75,1127,4.0
96,287,5.0
1104,35812,4.0
481,1172,4.0
383,3822,4.0
404,23672,4.0
565,2112,4.5
1734,33757,5.0
1230,7297,3.5
89,2377,3.0
285,13987,3.0
404,12177,1.0
2882,3852,3.0
306,13962,4.0
3400,7992,3.0
257,31697,2.0
243,2257,4.5
369,832,1.0
964,567,4.0
887,1232,4.0
1804,1197,3.5
1300,582,3.0
285,8417,4.0
404,1197,4.0
1216,15107,3.0
481,33492,1.5
404,39192,4.0
12,22072,4.0
26,4122,4.0
152,5697,4.0
1321,3472,5.0
2245,6562,5.0
1734,27422,5.0
3981,18032,1.5
1132,11797,3.5
712,2782,5.0
341,7732,4.0
467,6662,3.5
1055,18627,3.0
26,1817,3.0
3288,2407,5.0
2210,7742,4.0
1125,6682,4.0
712,8822,4.0
2889,16057,4.0
4128,10597,2.5
4163,952,5.0
887,6952,4.0
4464,5967,3.0
873,15537,4.5
2308,13137,5.0
404,6182,4.0
3946,8432,2.5
726,9402,1.0
1202,642,5.0
621,2727,4.0
82,43722,3.5
320,4252,5.0
47,3397,4.5
3232,14682,2.0
82,14402,2.0
397,2217,2.0
4408,6167,4.5
2371,17732,3.0
82,23332,3.0
12,40692,4.0
334,4327,4.0
1020,572,4.0
1699,23772,4.0
3925,927,5.0
313,10392,3.5
838,422,4.0
3218,8507,4.0
75,1307,4.0
719,12847,4.0
712,427,5.0
201,1962,3.0
376,3787,4.0
201,7662,3.5
1692,15237,4.5
3120,2017,3.0
278,7927,4.0
1790,9312,4.0
1174,5442,4.0
705,33157,4.0
2098,5837,5.0
3659,882,3.0
4394,5057,5.0
2385,3067,4.0
404,7977,4.0
908,14087,4.0
1111,19342,4.0
2994,5002,3.5
3974,1182,4.0
747,24002,2.5
1419,1262,4.5
404,14402,2.0
1230,3092,5.0
1419,2947,5.0
418,532,4.0
754,1797,5.0
3561,2762,2.0
1832,3787,0.5
341,1487,3.0
3134,17,3.0
810,32907,4.5
558,6647,2.5
117,23307,3.0
2560,2217,4.0
2413,3617,2.0
1636,2987,5.0
873,10717,3.0
1559,9047,4.0
68,11042,1.5
2448,262,5.0
936,14167,3.0
4373,3402,5.0
957,3232,4.0
677,4042,3.5
614,33462,3.5
1111,4147,4.0
397,3177,3.5
810,3822,4.5
152,2502,3.0
2574,5972,3.0
26,2112,5.0
124,11437,3.0
1643,37972,5.0
572,1197,5.0
810,4252,3.5
40,6857,3.0
2637,4137,4.0
747,5077,3.0
1426,2727,4.0
3127,6332,3.0
1426,14787,3.0
873,7742,3.0
1783,917,4.0
922,692,3.0
278,6127,4.0
320,5847,5.0
481,40082,2.5
131,2217,3.0
3267,13912,3.0
1615,3797,3.0
593,717,4.0
201,327,4.0
404,38292,4.0
621,3367,3.0
3337,642,4.5
719,23602,1.0
271,1387,3.0
1202,492,2.0
1041,16072,3.0
271,2042,2.5
1629,122,4.0
635,1417,2.5
3190,16977,4.0
82,23612,1.0
271,6562,4.0
1923,6492,5.0
425,4132,5.0
943,11612,5.0
313,11247,3.5
383,4592,3.5
383,2227,2.0
2539,16607,3.0
1720,5067,4.0
2189,667,4.0
1587,13052,2.5
75,6822,4.0
299,11732,3.5
383,11672,3.0
2364,337,3.5
1510,502,3.5
124,3427,2.5
635,2757,3.5
1300,11987,2.0
75,10207,3.0
2406,12187,3.0
2245,852,3.0
719,572,4.0
26,19022,5.0
1503,7827,3.0
2077,1987,3.5
1426,15867,4.0
1713,12162,4.0
3617,592,5.0
1517,5297,3.0
2938,1547,5.0
2945,8697,2.5
1006,3312,4.0
936,252,3.0
4051,26822,4.0
1237,11567,2.0
1615,7367,4.0
1909,4167,0.5
481,10957,4.0
1041,20452,5.0
201,8217,4.0
607,33562,3.0
124,9892,4.0
964,12222,4.0
894,19547,5.0
2021,3407,3.5
663,1707,4.0
537,187,3.5
1853,5532,4.5
299,13977,3.0
1860,4282,5.0
796,17,4.0
453,9082,4.0
3323,8312,3.0
1153,18182,4.0
1272,4382,4.5
2427,4117,0.5
89,5427,5.0
2287,377,2.5
747,14637,1.5
607,27277,3.5
2896,277,5.0
75,9152,4.5
873,3462,3.5
75,34217,1.0
4471,6827,0.5
2133,2442,3.5
873,31587,4.0
1132,1667,4.5
1405,392,4.0
1426,7772,2.0
96,2677,5.0
75,1907,3.0
481,9247,4.0
3820,2752,4.0
607,12667,2.0
873,13522,3.5
1524,1072,5.0
75,30497,1.5
19,12927,4.0
1734,11142,4.0
2595,7232,4.5
2595,15292,4.0
12,32852,3.5
1538,252,4.5
614,562,3.0
19,862,3.0
1118,23787,5.0
964,7252,3.0
201,4117,4.0
922,4862,4.0
3414,342,5.0
544,15692,4.0
2644,417,3.0
2035,10452,5.0
75,32447,3.5
383,6427,3.5
698,5282,3.0
558,11157,4.0
1538,6232,1.5
446,8882,4.5
1160,1197,4.0
1979,557,3.0
1426,27202,4.0
481,642,2.5
628,8552,4.0
2882,7692,4.0
663,25777,4.0
124,4972,0.5
383,22237,0.5
