,user,movie
239,1132,2037
240,537,337
241,1944,6057
242,2392,17442
244,474,3472
246,467,2462
247,2959,31057
248,698,14007
249,789,1182
250,1545,7637
251,1559,9202
252,19,6377
253,1972,1972
254,320,5027
256,355,6627
257,257,7167
258,54,11142
259,1111,23867
260,1104,21277
261,894,7882
262,873,5427
263,194,4352
264,306,237
266,1363,1967
267,180,1037
268,1426,622
269,817,717
270,782,25882
271,3260,1192
272,306,7907
274,4569,14737
275,474,907
276,180,29512
277,3022,16157
278,1496,8167
280,2021,777
281,1384,8042
282,201,8927
283,1006,2917
284,362,3057
285,278,2657
286,285,6502
287,614,6897
289,1286,4132
290,453,6747
291,1111,10177
292,124,6072
293,61,897
294,2392,6917
295,2294,2437
296,1622,362
297,509,2352
298,1790,452
299,3057,6167
301,1993,26452
303,355,672
304,908,1462
305,26,4127
306,1629,532
307,873,572
308,1370,1632
310,250,5747
311,3498,25362
312,180,22932
313,1916,2947
314,1090,2012
315,1496,24522
316,1006,35732
317,264,907
319,271,36442
321,1923,997
322,684,10202
323,1972,10002
325,2364,3762
327,222,4517
328,257,1832
331,3218,1427
332,3505,5572
333,3925,2812
335,285,7017
336,4548,2012
337,1167,23872
338,1496,2667
339,1664,822
341,3155,12432
342,2889,6157
343,3295,332
344,2896,887
345,75,2622
346,481,24227
347,1538,7842
348,1916,10332
350,306,7152
352,1426,1457
353,873,2837
355,3351,7507
356,1790,6787
358,1440,21142
359,285,2297
360,1643,1867
362,3834,732
363,404,4902
364,2770,3262
368,873,4102
369,544,19957
370,110,12087
371,3904,5967
372,873,24252
374,1706,2827
375,3393,20082
376,2462,1262
378,2882,15692
379,2896,2017
380,3659,527
381,873,20627
382,320,34572
383,243,3662
384,453,12657
385,985,3852
386,2805,337
387,1741,3057
388,82,5402
389,663,13042
390,1300,8002
391,180,21732
392,1643,2202
393,502,27
394,2945,6407
395,320,7592
396,894,3802
397,4506,14432
398,383,23172
399,2364,24387
400,110,9897
401,1426,31182
402,383,13787
403,390,13187
404,740,22497
405,271,19157
406,2133,2207
407,2287,1592
408,89,14472
409,2532,1897
410,1685,1882
412,761,1567
413,754,9307
414,1069,882
415,397,787
416,719,1532
419,1433,1092
420,3393,8822
422,1902,3037
423,327,222
424,1426,5427
425,82,20672
426,1125,23087
427,68,1197
428,1153,1457
429,2210,4722
431,852,2972
433,2077,5292
435,26,5442
441,271,2082
442,3085,13922
443,2301,3717
444,1741,18167
445,2385,4622
446,754,26317
447,1790,2312
448,887,5077
449,2259,3992
450,481,8487
452,306,727
453,3757,5807
454,873,22687
455,1335,38372
456,1237,5972
458,747,17
459,537,18762
460,208,6312
461,2532,4372
462,1776,402
463,3057,4792
465,1405,1907
466,3603,4617
467,3281,5572
468,1475,5587
469,1734,6547
470,404,1632
471,2875,12122
472,1083,1632
474,2994,3462
475,68,18982
477,404,5682
478,3603,2182
481,4282,2552
482,3190,15777
483,712,1147
486,2294,11722
491,110,4447
492,278,11142
494,1671,6777
495,1615,14202
496,285,22782
497,3274,4887
498,656,2622
499,1804,4187
500,831,20057
501,3218,24887
505,82,6427
508,2231,1347
509,1041,22127
510,425,257
512,285,87
513,481,8117
514,4464,1632
515,2049,527
516,2385,7947
518,1202,2037
519,2777,2987
523,1237,26337
524,845,522
525,957,17122
527,264,2092
528,3302,4692
529,404,3207
530,2196,427
531,1041,10432
532,2448,642
533,180,37567
535,922,7107
536,341,4027
537,3246,1892
539,1125,12987
540,803,20007
541,1986,1212
543,1013,3062
544,19,1892
545,607,7847
546,1069,6167
547,3232,1982
548,3554,2417
549,719,122
550,1426,2202
551,110,1847
553,474,2732
555,2427,10597
557,180,5462
558,2490,567
559,2315,2357
560,4422,5797
561,1580,5507
562,1671,172
563,838,11657
564,61,8492
565,2084,12522
566,481,6177
568,719,2517
569,229,15777
570,1944,5442
571,1818,2857
572,1454,912
573,922,1987
576,1349,24912
578,26,11382
579,3519,492
580,481,1302
581,1230,17967
582,390,5132
585,320,4677
586,4485,13012
590,3519,3307
591,2847,16327
592,1314,87
593,453,882
594,3337,847
595,698,6802
596,75,9352
597,1524,25577
599,362,4582
600,824,14132
601,3862,20892
602,3631,2312
603,12,15337
604,4674,1797
606,1860,9047
607,1069,4167
608,3652,1297
609,1181,2512
610,1202,557
612,1034,17087
614,201,1327
616,201,847
618,873,8667
619,607,6582
621,810,37192
622,2742,3177
625,292,8472
626,82,3547
627,3078,5837
628,3435,8192
629,481,832
630,2308,10977
631,82,3202
632,1783,5162
633,75,22232
636,180,5582
637,383,17867
638,3981,21227
639,1146,952
641,2315,8042
643,1496,192
644,824,8392
646,96,2057
648,4135,3082
649,383,17247
650,3953,2242
651,4261,1477
652,558,8987
653,3603,882
654,2070,292
655,439,24272
657,4030,35087
658,404,11052
659,82,3357
660,2630,6357
662,481,29312
663,180,1547
664,1076,402
665,145,952
669,306,19717
670,4492,22687
672,1797,9777
673,26,26502
675,89,5627
676,1237,20657
677,558,2987
678,404,18997
681,971,1372
682,936,6587
683,3897,13817
685,264,27932
686,1615,1917
688,3806,62
689,2175,3307
690,4247,5107
691,3470,3642
693,306,19512
696,3778,18037
697,698,7812
698,3841,10882
699,1300,22302
700,691,1402
701,957,272
702,1132,2622
703,285,552
704,1006,502
705,152,8822
706,698,1307
707,243,15707
709,2770,7822
711,2077,5967
712,698,17492
713,201,7492
714,2112,5967
715,4212,277
716,1643,4782
717,3288,14287
718,2140,532
719,1916,3847
720,341,13332
721,845,11952
723,1909,1232
726,110,1357
727,467,9842
728,355,777
729,1174,14912
730,712,28477
731,481,13517
732,82,39227
733,383,2632
734,635,26112
735,26,23747
736,817,1597
737,75,16502
738,1300,17587
739,3743,9877
740,607,18957
741,3400,3387
742,747,592
744,2980,6702
745,3344,1442
746,1531,41342
747,1132,1457
748,383,15742
751,3036,2012
752,873,20822
753,2399,20382
754,12,7882
755,922,2972
756,3036,7207
757,3498,1637
758,320,3277
759,3659,1037
760,2315,2722
761,257,7622
762,2119,6782
763,1440,16092
764,1125,8747
765,607,5112
766,271,14092
767,1895,5657
768,2532,3757
770,1349,877
772,3491,1802
773,4520,4622
774,747,8657
775,747,1277
776,782,13522
777,922,10452
779,2742,12242
780,971,3312
782,3393,1987
785,271,17382
786,1790,3962
787,341,3682
788,999,12897
789,2259,22787
790,1853,3067
791,1328,912
792,1111,7382
793,1041,4522
794,1895,8537
795,537,2017
796,3176,12872
797,306,1907
798,2098,882
799,264,2252
800,1146,557
801,2301,1842
802,873,14967
803,635,29567
804,96,2947
805,1349,277
806,873,26487
808,3631,967
809,12,232
810,1013,1217
811,537,442
812,1041,12592
813,82,262
814,3925,1457
815,285,27817
817,2098,12782
818,1125,3957
819,1055,192
820,1580,15782
821,4625,292
823,187,6122
826,390,1147
827,1146,27
828,1258,357
829,635,16622
830,1132,1397
831,1426,21322
832,390,887
833,1398,12982
834,1783,27442
836,558,5042
837,656,3907
838,201,3922
839,1300,1877
840,306,5767
842,1125,14542
844,208,21112
845,2287,11772
847,558,2017
849,544,6562
850,404,10517
851,264,8347
852,383,1937
853,1440,41787
855,1195,17
856,1468,17122
857,208,662
858,3120,6057
860,3540,6497
861,285,19042
862,82,11622
863,12,4737
864,271,26022
867,2553,4077
869,2455,26767
870,2742,14512
872,187,1192
873,201,7362
874,271,5177
875,2742,4437
876,75,25957
877,3715,3167
878,383,2202
880,1405,9687
881,264,18472
883,180,25712
884,1237,12847
885,1615,7312
886,264,35702
888,82,9407
891,2077,29167
892,1545,12542
893,3071,3092
895,3225,19802
897,537,5482
898,1202,22862
899,873,2402
900,1790,11707
901,635,3052
902,1300,2507
903,1678,5177
905,2133,912
906,26,26132
907,4450,5227
908,61,17042
909,1811,3307
910,1468,7387
911,754,7757
912,4100,1842
913,3106,2312
914,1153,9412
915,1615,5262
916,82,10572
917,2021,3912
918,110,7662
919,19,1402
920,1468,31327
921,663,13802
922,1111,2772
923,1615,11072
925,3904,3307
926,1930,967
927,383,6277
928,1860,8172
929,89,8842
930,1244,5767
932,341,21277
934,1370,927
936,1013,24412
937,565,462
938,383,6607
939,1678,5082
940,3743,357
941,1174,2037
943,1146,10217
944,96,892
946,782,22647
947,4366,20497
948,320,5367
949,3106,5747
951,3155,427
952,516,4697
953,3400,8457
954,250,16247
955,2861,5062
956,397,3207
957,3092,23377
958,2756,22467
959,677,2182
960,1300,24097
961,152,39912
962,873,6802
963,1727,14047
964,2140,22302
965,404,3587
966,1041,22552
967,1167,1212
968,2364,15017
969,3169,13332
971,89,18597
972,1706,2562
973,376,13507
975,131,3312
977,3498,5667
978,754,4202
979,404,7042
980,1202,15787
981,1055,11667
983,439,727
985,1111,11957
986,4184,1792
987,845,672
988,180,2982
989,635,37572
991,523,9372
992,2700,2377
993,180,2332
994,404,6037
995,1748,16437
996,2126,2592
998,75,1342
999,1790,16437
1000,96,5797
1001,614,1632
1002,929,9017
1004,376,6387
1006,117,3407
1007,2665,32917
1010,152,4382
1011,4170,2552
1012,1300,37
1013,635,2237
1015,61,7667
1016,810,6167
1017,19,6987
1018,3078,9942
1020,635,30522
1021,1993,1222
1022,320,19087
1025,3148,1397
1029,2126,7792
1031,1174,3642
1032,1034,957
1034,3078,13052
1035,131,5137
1036,481,932
1037,1615,4282
1038,61,25942
1040,180,21317
1041,376,16877
1042,3043,1182
1043,2525,2057
1044,4240,4297
1045,3652,37
1046,383,10117
1047,481,1222
1048,1426,9237
1049,1300,657
1050,1867,862
1051,2973,2752
1052,1426,20877
1053,222,237
1055,278,2052
1058,2378,5522
1059,712,21682
1060,2931,8217
1061,2077,5817
1062,3176,4022
1063,1608,20877
1065,1405,3557
1067,1195,4382
1069,3071,13977
1070,1734,887
1071,446,16367
1072,2294,3912
1073,3799,14102
1074,712,5917
1075,1405,3612
1076,96,21147
1078,1566,2057
1079,509,3792
1080,2693,8167
1082,3722,2707
1083,306,12077
1084,222,1637
1086,873,25462
1087,1713,9587
1089,1286,18462
1090,2021,6527
1091,1125,19987
1092,838,22947
1093,712,12587
1094,1048,2512
1095,2574,887
1096,992,1232
1098,4072,7342
1099,2371,9692
1101,2756,5647
1102,726,747
1103,1811,29437
1104,2392,6527
1106,257,13047
1107,1349,6217
1108,1300,18222
1109,1069,7077
1110,383,20882
1111,712,3682
1112,299,2512
1113,1832,11107
1116,3288,7607
1117,222,25572
1118,873,30322
1119,61,1107
1120,614,10732
1121,3183,4147
1122,404,10842
1123,19,567
1124,2868,532
1125,2973,2837
1127,250,1907
1128,2371,692
1129,1020,2082
1130,313,9662
1134,530,10532
1135,2049,12122
1136,922,27212
1137,61,592
1139,19,6952
1144,3505,1232
1145,3764,8347
1146,82,18052
1147,607,102
1148,2602,422
1149,2868,38757
1150,89,6162
1152,3106,3477
1153,530,17222
1154,810,5042
1155,1524,4337
1156,2427,23342
1157,187,19087
1158,537,3267
1159,1867,2617
1160,3652,2512
1161,285,19957
1162,3519,422
1163,2035,2687
1165,320,6967
1166,978,1232
1167,1013,377
1168,2875,16102
1170,320,2762
1171,712,7812
1173,481,5622
1175,1496,647
1176,1958,2947
1177,3890,19022
1178,614,1532
1179,3351,11612
1181,922,4027
1182,82,27292
1184,264,22277
1185,698,10197
1186,1748,4912
1187,558,15537
1188,1545,547
1189,264,8112
1192,3841,887
1193,124,11667
1194,1440,28527
1195,404,22582
1197,614,2082
1198,607,14027
1199,3904,832
1200,1188,8212
1201,1426,24957
1202,2203,22632
1205,26,6592
1206,369,2857
1210,1559,16402
1211,2077,792
1213,544,7142
1214,845,1442
1215,285,227
1216,1426,7177
1217,747,11557
1218,313,15367
1219,2224,747
1220,516,2132
1221,446,18372
1222,75,1127
1223,96,287
1224,1104,35812
1225,481,1172
1227,404,23672
1228,565,2112
1230,1230,7297
1231,89,2377
1232,285,13987
1233,404,12177
1235,306,13962
1236,3400,7992
1237,257,31697
1239,369,832
1240,964,567
1242,1804,1197
1243,1300,582
1244,285,8417
1245,404,1197
1246,1216,15107
1247,481,33492
1249,12,22072
1250,26,4122
1251,152,5697
1252,1321,3472
1253,2245,6562
1256,1132,11797
1257,712,2782
1259,467,6662
1260,1055,18627
1261,26,1817
1262,3288,2407
1263,2210,7742
1264,1125,6682
1265,712,8822
1266,2889,16057
1267,4128,10597
1268,4163,952
1269,887,6952
1270,4464,5967
1271,873,15537
1272,2308,13137
1273,404,6182
1274,3946,8432
1275,726,9402
1277,621,2727
1279,320,4252
1280,47,3397
1281,3232,14682
1283,397,2217
1284,4408,6167
1285,2371,17732
1287,12,40692
1288,334,4327
1289,1020,572
1290,1699,23772
1291,3925,927
1292,313,10392
1293,838,422
1294,3218,8507
1296,719,12847
1297,712,427
1298,201,1962
1299,376,3787
1300,201,7662
1301,1692,15237
1304,1790,9312
1305,1174,5442
1306,705,33157
1307,2098,5837
1309,4394,5057
1310,2385,3067
1313,1111,19342
1314,2994,5002
1317,1419,1262
1320,1419,2947
1322,754,1797
1323,3561,2762
1325,341,1487
1327,810,32907
1328,558,6647
1329,117,23307
1331,2413,3617
1332,1636,2987
1334,1559,9047
1335,68,11042
1336,2448,262
1337,936,14167
1338,4373,3402
1339,957,3232
1340,677,4042
1342,1111,4147
1343,397,3177
1344,810,3822
1345,152,2502
1346,2574,5972
1347,26,2112
1348,124,11437
1349,1643,37972
1352,40,6857
1353,2637,4137
1354,747,5077
1355,1426,2727
1356,3127,6332
1357,1426,14787
1359,1783,917
1360,922,692
1362,320,5847
1363,481,40082
1364,131,2217
1365,3267,13912
1366,1615,3797
1367,593,717
1368,201,327
1369,404,38292
1370,621,3367
1371,3337,642
1372,719,23602
1373,271,1387
1374,1202,492
1376,271,2042
1377,1629,122
1378,635,1417
1379,3190,16977
1380,82,23612
1381,271,6562
1382,1923,6492
1383,425,4132
1384,943,11612
1386,383,4592
1387,383,2227
1388,2539,16607
1389,1720,5067
1390,2189,667
1391,1587,13052
1393,299,11732
1395,2364,337
1396,1510,502
1397,124,3427
1399,1300,11987
1400,75,10207
1402,2245,852
1404,26,19022
1405,1503,7827
1406,2077,1987
1407,1426,15867
1408,1713,12162
1409,3617,592
1410,1517,5297
1411,2938,1547
1412,2945,8697
1414,936,252
1415,4051,26822
1417,1615,7367
1418,1909,4167
1421,201,8217
1423,124,9892
1424,964,12222
1426,2021,3407
1427,663,1707
1429,1853,5532
1431,1860,4282
1432,796,17
1433,453,9082
1434,3323,8312
1435,1153,18182
1436,1272,4382
1437,2427,4117
1438,89,5427
1439,2287,377
1440,747,14637
1441,607,27277
1443,75,9152
1444,873,3462
1445,75,34217
1446,4471,6827
1447,2133,2442
1449,1132,1667
1450,1405,392
1452,96,2677
1453,75,1907
1454,481,9247
1455,3820,2752
1456,607,12667
1457,873,13522
1458,1524,1072
1459,75,30497
1460,19,12927
1461,1734,11142
1462,2595,7232
1463,2595,15292
1464,12,32852
1465,1538,252
1466,614,562
1467,19,862
1469,964,7252
1470,201,4117
1471,922,4862
1472,3414,342
1473,544,15692
1476,75,32447
1477,383,6427
1478,698,5282
1479,558,11157
1480,1538,6232
1481,446,8882
1482,1160,1197
1483,1979,557
1484,1426,27202
1486,628,8552
1487,2882,7692
1488,663,25777
1489,124,4972
1490,383,22237
1492,1258,4522
1493,880,2052
1494,558,242
1495,1496,22227
1496,1587,4047
1497,607,1912
1498,1020,14567
1499,383,10942
1500,341,3117
1502,656,4522
1503,2077,7782
1504,1041,5847
1505,26,12042
1507,1531,2082
1510,61,20212
1511,3561,6917
1512,404,8727
1513,936,6387
1514,747,1907
1516,12,3097
1517,936,1347
1518,3337,4122
1519,2917,4757
1520,775,2017
1521,376,25472
1522,1363,2297
1524,915,37902
1525,607,12047
1526,614,7667
1527,2665,22817
1530,208,1382
1531,383,21092
1533,866,4742
1534,2574,1397
1536,936,1987
1537,460,2157
1538,4282,15227
1539,698,24967
1540,2574,23562
1541,1195,5657
1542,712,15347
1543,1174,13422
1544,1132,6922
1545,1748,2407
1547,75,36462
1549,1006,21107
1550,1125,26092
1551,1125,29257
1552,341,6637
1553,936,5337
1554,201,12007
1555,873,13382
1556,684,22132
1558,2021,21552
1559,2315,6772
1560,3771,367
1562,810,15867
1563,383,547
1564,1517,5027
1566,3071,14802
1567,698,6057
1568,2070,1612
1569,523,4862
1570,1153,1082
1571,2595,5222
1572,299,13507
1573,1580,1282
1574,922,5657
1575,1468,3077
1576,1860,112
1577,1909,35627
1578,2077,24757
1581,110,1212
1582,3708,24267
1583,341,17152
1584,810,7422
1585,488,10432
1586,3022,27722
1589,1125,19022
1591,481,26917
1592,82,27322
1593,61,4262
1594,12,30622
1595,222,8637
1596,96,19642
1597,3554,19127
1600,1020,1327
1601,2133,4282
1602,684,552
1603,803,10662
1604,2357,2242
1605,383,13982
1606,1853,1032
1609,1062,5737
1610,47,662
1611,1944,9497
1612,1300,6937
1613,82,34837
1616,390,5447
1618,873,9517
1619,285,2587
1620,3834,5382
1621,1104,6072
1624,1174,1802
1625,1825,7827
1626,1769,527
1627,264,3787
1629,1118,1752
1630,1356,427
1631,75,1007
1633,3176,722
1634,817,952
1635,3799,3177
1636,1006,32187
1640,1426,1202
1641,306,31932
1642,12,24592
1643,1097,1547
1644,1363,22062
1645,460,13092
1647,19,6337
1648,1055,3762
1649,166,19822
1650,635,13167
1651,1405,9617
1652,2749,2202
1653,75,13067
1654,180,2227
1655,1293,5087
1656,558,457
1657,355,4437
1659,201,2222
1660,271,8742
1661,1804,36067
1662,2217,8042
1663,4387,672
1664,2140,9607
1665,922,312
1666,1230,41712
1667,572,15992
1668,810,2417
1669,19,4582
1670,82,36387
1671,1349,2992
1672,201,357
1673,1104,8927
1675,1755,9782
1676,264,2947
1677,3827,5967
1680,383,8452
1681,4534,4267
1682,1111,5307
1683,2140,2407
1684,1496,8787
1686,257,3062
1687,3253,8822
1688,2301,13712
1689,971,4592
1691,187,3527
1692,201,2327
1693,1818,1632
1694,2133,122
1695,404,10852
1696,1748,3822
1699,2357,8822
1700,3876,16762
1701,1174,9992
1702,1440,522
1703,754,1702
1704,124,35997
1706,1202,5327
1707,544,2557
1710,75,7342
1711,397,4437
1712,712,4912
1713,3925,25842
1715,1510,2312
1718,3701,12007
1719,3540,3792
1720,1545,337
1721,481,6677
1722,2644,357
1723,530,16187
1724,698,11932
1725,1748,2382
1727,1349,3517
1728,2994,152
1730,2294,17082
1731,1055,11792
1732,1041,11612
1733,26,1342
1734,355,28512
1735,453,1682
1736,2868,6502
1737,82,5872
1738,2728,197
1739,82,30272
1741,3505,417
1744,110,11437
1745,26,5782
1746,362,22782
1747,110,2312
1748,824,2252
1749,971,18982
1750,628,12207
1751,1832,10747
1753,1006,10862
1754,2665,7117
1755,390,1422
1756,383,13532
1757,635,7517
1758,1006,452
1760,383,13877
1761,971,6127
1762,397,7827
1763,754,11952
1764,2385,1882
1765,3841,1382
1767,2371,1957
1768,614,2012
1769,1132,4822
1770,271,29337
1771,1279,4532
1772,82,19567
1774,1293,33357
1775,2077,3622
1776,642,2132
1777,1664,3057
1778,1475,10182
1779,873,28872
1780,1951,20027
1781,747,6672
1782,243,10532
1783,208,927
1784,922,26292
1785,4387,1402
1786,3078,9167
1790,1531,5227
1791,1790,17452
1792,4380,3262
1793,383,792
1794,1041,3912
1795,3344,342
1797,1895,36867
1798,4023,9507
1799,376,1352
1801,299,2312
1805,838,567
1806,285,1727
1807,747,2327
1808,2231,11557
1809,698,6397
1810,1104,2542
1811,1041,15942
1812,1734,7017
1813,481,5102
1814,180,3617
1815,2896,3517
1816,1405,2792
1817,3904,4112
1818,383,7437
1820,1006,14772
1822,383,21482
1823,2539,3942
1824,845,1532
1826,2686,41572
1827,4149,252
1828,1797,12942
1830,964,4892
1831,1055,20592
1832,1300,11702
1833,124,5452
1834,75,18942
1835,4093,16507
1836,3239,3307
1837,670,2322
1838,873,12717
1839,439,10732
1840,3106,1797
1842,1643,582
1844,2315,5807
1845,82,627
1846,3645,13127
1847,614,1972
1848,1475,8167
1850,2287,1402
1851,4002,5002
1853,2371,427
1854,488,9237
1855,656,43247
1857,873,10542
1858,460,17662
1859,3036,10112
1860,1111,572
1862,1853,1182
1863,2280,972
1866,110,822
1867,782,3047
1868,1909,3217
1869,1559,3677
1870,285,852
1871,3477,902
1872,1440,5227
1873,901,1532
1874,271,12437
1875,747,2622
1876,2385,3802
1877,2861,3642
1878,2693,2037
1880,278,7582
1883,2091,13617
1884,2994,17747
1885,460,10877
1887,152,19612
1889,607,6827
1890,446,9587
1891,803,21362
1892,383,34257
1893,2098,427
1894,2861,10272
1896,957,7367
1897,271,15887
1900,68,4912
1901,12,13052
1902,75,17437
1903,1790,4937
1905,3561,7212
1906,299,10207
1908,404,772
1910,306,8502
1911,572,15097
1912,481,15932
1913,285,16867
1914,3505,777
1915,2665,1767
1916,313,20822
1917,320,5427
1918,544,35712
1919,131,2997
1922,2798,5227
1923,887,13402
1924,110,19512
1925,866,7262
1927,404,32277
1928,208,20677
1930,3771,7337
1931,19,7332
1932,89,16527
1935,320,1917
1936,712,2137
1937,2791,677
1938,1713,8182
1939,299,8397
1940,383,23162
1941,390,112
1942,1300,22347
1945,82,972
1947,537,1632
1948,782,6697
1949,61,12747
1950,285,34307
1951,838,18707
1952,82,41382
1954,446,10477
1955,2833,62
1956,3015,332
1957,1790,5102
1958,3470,3167
1959,1202,6477
1960,75,15862
1961,2378,2382
1962,488,10732
1964,614,14267
1965,768,927
1966,89,2797
1967,152,6102
1969,208,6472
1970,2063,422
1972,2210,3822
1973,2812,2792
1974,481,102
1975,2308,4027
1977,439,13932
1978,4443,402
1979,1468,13337
1980,4401,417
1981,971,18002
1982,481,2997
1983,26,5222
1984,2441,12557
1985,1531,1277
1986,3400,1352
1987,2392,5022
1989,3890,32517
1990,971,16432
1991,2301,21827
1992,348,4707
1994,285,7572
1995,495,2827
1996,2385,9822
1998,124,17757
1999,264,37957
2000,1321,29177
2001,2679,2012
2002,180,7182
2004,1041,29882
2005,586,40312
2006,3323,452
2007,1153,667
2008,733,38987
2009,754,27797
2010,3540,7002
2011,404,6817
2012,1650,9507
2013,2945,11537
2014,152,7582
2015,2693,5807
2016,2735,2797
2017,1230,1547
2018,950,2732
2019,383,17727
2020,1566,8852
2022,1069,3907
2023,4142,6332
2024,1783,6277
2025,4457,16527
2026,663,2707
2027,2532,38422
2029,1328,477
2030,3729,14162
2031,1321,3527
2032,2168,1927
2033,1419,15112
2035,1734,40007
2036,271,5522
2037,1055,1242
2038,2021,2182
2039,2441,497
2040,292,2202
2041,684,5967
2042,89,8222
2043,1328,34712
2044,1111,9517
2046,61,13242
2047,2553,2802
2049,1853,6072
2050,264,3297
2051,2875,1232
2052,2287,1637
2056,3036,7367
2058,82,11642
2059,4149,102
2060,1419,3822
2061,1783,52
2062,110,4617
2063,810,14952
2064,3533,3797
2067,852,2727
2068,3323,2342
2070,320,39157
2072,54,6647
2074,1531,6592
2076,82,9017
2077,82,4232
2078,201,1307
2079,859,342
2080,383,30637
2082,712,3277
2083,747,7377
2087,852,13857
2088,3414,18587
2089,271,6567
2092,285,3882
2093,873,32277
2094,2560,11317
2095,614,7722
2098,1090,1397
2099,12,3342
2100,1643,1802
2101,1790,2357
2104,481,38142
2105,418,2552
2106,383,7582
2107,2644,497
2108,383,23807
2109,2896,3842
2110,439,6137
2111,82,18532
2112,2252,362
2113,1146,3757
2114,1853,10792
2115,1741,13382
2116,3134,4282
2117,845,287
2118,908,1202
2119,810,3242
2120,481,12692
2121,4128,2132
2122,4002,2507
2123,75,22632
2124,544,1092
2126,383,13597
2129,754,14787
2130,1118,3902
2131,19,10532
2132,761,8447
2133,383,9877
2134,19,17182
2135,1727,6127
2136,425,3027
2137,1741,4522
2138,887,3842
2139,873,1267
2141,1398,8397
2142,2616,2202
2144,887,19212
2146,1370,6512
2147,96,4302
2149,894,6497
2152,271,3642
2153,2287,2217
2154,1426,36057
2155,1790,11552
2156,404,13247
2157,873,13977
2158,1146,1632
2159,271,3627
2160,89,7292
2161,2371,1552
2162,1993,3942
2164,698,16522
2165,614,10882
2166,82,33097
2167,1125,26657
2168,40,10442
2169,712,4872
2171,1111,10987
2172,2525,522
2173,404,23442
2174,1076,7822
2175,26,13802
2176,180,36827
2178,614,12127
2180,222,13407
2181,1818,4617
2182,747,11652
2183,19,4722
2184,1300,11032
2185,299,2632
2186,1496,4367
2188,306,15367
2189,1363,117
2190,1216,277
2191,1272,927
2192,3687,3527
2193,152,11542
2196,481,822
2197,75,18392
2199,2896,252
2200,572,6692
2201,642,362
2202,1034,477
2203,180,13812
2204,117,8617
2205,2707,19412
2207,1986,1707
2211,313,8197
2212,201,4507
2213,285,1312
2214,26,6167
2215,404,7212
2216,3519,6702
2219,383,18292
2220,866,14072
2221,334,1832
2222,341,557
2223,3022,41352
2226,187,24392
2227,2210,6647
2230,614,22452
2231,313,20772
2232,264,14692
2233,3155,2012
2234,3827,1442
2235,2021,7582
2236,425,14512
2237,908,2267
2239,201,7097
2240,544,822
