movie,income,g1,g2,g3,g4,g5,g6
1722,2471370,Drama,,,,,
1727,4846879,Comedy,,,,,
1732,2623560,Comedy,,,,,
1737,3729056,Drama,,,,,
1742,1985824,Comedy,,,,,
1747,12582986,Drama,Thriller,,,,
1752,12911844,Drama,Thriller,,,,
1757,3502826,Comedy,,,,,
1762,5088682,Drama,,,,,
1767,1001838,Action,IMAX,,,,
1772,3621459,Comedy,Drama,,,,
1777,5357785,Comedy,,,,,
1782,2937485,,,,,,
1787,5005507,Drama,,,,,
1792,6486093,Drama,,,,,
1797,13017379,,,,,,
1802,1722247,Action,Comedy,,,,
1807,3971935,Drama,,,,,
1812,853846,Drama,Western,,,,
1817,2023363,Drama,,,,,
1822,848263,Comedy,,,,,
1827,3590852,Comedy,Drama,,,,
1832,11467055,Action,Drama,Thriller,,,
1837,2465504,Comedy,,,,,
1842,20326381,Action,Western,,,,
1847,2736234,Comedy,,,,,
1852,5682871,Drama,,,,,
1857,4868866,Drama,Thriller,,,,
1862,10469155,Comedy,,,,,
1867,4385402,Drama,,,,,
1872,4656445,Comedy,,,,,
1877,10284341,Drama,,,,,
1882,3045048,Comedy,Drama,,,,
1887,11351840,Comedy,,,,,
1892,2788190,Action,Thriller,,,,
1897,5450956,Drama,Thriller,,,,
1902,7289783,Drama,,,,,
1907,3439950,,,,,,
1912,3330473,Action,IMAX,,,,
1917,7056031,Comedy,,,,,
1922,10174287,Drama,Thriller,,,,
1927,7144053,Comedy,Drama,,,,
1932,1827292,Action,Thriller,,,,
1937,1777539,Action,Thriller,,,,
1942,1577563,Comedy,,,,,
1947,6002141,Drama,,,,,
1952,9459368,Drama,,,,,
1957,3986176,Drama,,,,,
1962,1214169,Comedy,Drama,,,,
1967,12175835,Action,Thriller,,,,
1972,10343165,Comedy,,,,,
1977,19646082,Comedy,,,,,
1982,4806472,Action,,,,,
1987,4945303,Comedy,,,,,
1992,4767646,Drama,,,,,
1997,29327971,Comedy,,,,,
2002,7517817,Action,Comedy,,,,
2007,1885376,Comedy,Drama,,,,
2012,4925069,Drama,Horror,,,,
2017,2470722,Action,Comedy,Thriller,,,
2022,23453733,Comedy,Drama,,,,
2027,101292,Horror,,,,,
2032,2621476,Comedy,,,,,
2037,936204,Action,Comedy,,,,
2042,1453842,Comedy,,,,,
2047,2646602,Comedy,,,,,
2052,11102170,Comedy,Drama,,,,
2057,11019281,Comedy,Drama,,,,
2062,348203,Drama,,,,,
2067,25020124,Thriller,,,,,
2072,400017,Action,Drama,IMAX,,,
2077,9279161,Action,Thriller,,,,
2082,2124144,Action,,,,,
2087,3271336,Drama,,,,,
2092,5473038,Drama,,,,,
2097,1464166,Comedy,,,,,
2102,2903956,Drama,Horror,,,,
2107,3617978,Action,Horror,Thriller,,,
2112,13944881,Drama,,,,,
2117,9993852,Action,Comedy,,,,
2122,10396797,Drama,,,,,
2127,1608708,Comedy,,,,,
2132,6270801,Action,Drama,IMAX,,,
2137,5683705,Comedy,,,,,
2142,3407883,Action,Thriller,,,,
2147,1307048,Comedy,,,,,
2152,26675,Comedy,,,,,
2157,2932354,Action,IMAX,,,,
2162,4804977,Drama,,,,,
2167,21044793,Drama,,,,,
2172,2107787,Drama,Horror,,,,
2177,11466451,Action,Thriller,,,,
2182,1169110,Comedy,,,,,
2187,1791460,Comedy,,,,,
2192,4431932,Comedy,,,,,
2197,9304197,Comedy,Drama,,,,
2202,9091526,Comedy,Drama,,,,
2207,2691806,,,,,,
2212,8669590,Comedy,,,,,
2217,6122453,Thriller,,,,,
2222,1607635,Comedy,,,,,
2227,2628074,Comedy,Drama,,,,
2232,8193135,Action,Thriller,,,,
2237,1656649,Horror,,,,,
2242,9152989,Comedy,Drama,,,,
2247,28892558,Comedy,,,,,
2252,8228040,Drama,,,,,
2257,3647343,Drama,Thriller,,,,
2262,6709300,Drama,,,,,
2267,1163380,Comedy,,,,,
2272,2880565,Drama,,,,,
2277,7751176,Action,Drama,Horror,Thriller,,
2282,5009228,Comedy,,,,,
2287,6259148,Drama,Thriller,,,,
2292,12374117,Comedy,,,,,
2297,17708687,Drama,,,,,
2302,4862813,Comedy,,,,,
2307,8396674,,,,,,
2312,5671483,Action,,,,,
2317,1697525,Comedy,,,,,
2322,8402926,Drama,,,,,
2327,1572941,Comedy,,,,,
2332,6929123,Drama,,,,,
2337,247433,Comedy,Drama,,,,
2342,2872131,Action,Thriller,,,,
2347,8777064,Drama,,,,,
2352,11152732,Comedy,,,,,
2357,5230390,Drama,,,,,
2362,6204880,Comedy,,,,,
2367,1881600,,,,,,
2372,3783131,Drama,,,,,
2377,8744236,Drama,,,,,
2382,8499619,Comedy,Drama,,,,
2387,6798441,Drama,,,,,
2392,2544895,Action,Thriller,,,,
2397,14909437,Comedy,,,,,
2402,475859,Comedy,,,,,
2407,4457869,Drama,,,,,
2412,1313668,Drama,Thriller,,,,
2417,3743639,Action,Thriller,,,,
2422,976491,Horror,Thriller,,,,
2427,3395087,Horror,,,,,
2432,11549484,Drama,,,,,
2437,8021472,Action,Drama,,,,
2442,3229636,,,,,,
2447,5530354,Action,Drama,Thriller,,,
2452,8542213,Drama,,,,,
2457,1567509,Horror,Thriller,,,,
2462,9493643,Action,Horror,,,,
2467,3070650,Action,Drama,Thriller,IMAX,,
2472,91358,Comedy,,,,,
2477,20178812,Drama,,,,,
2482,9978065,Action,Comedy,,,,
2487,13449646,Comedy,,,,,
2492,2180823,Drama,,,,,
2497,6016077,Drama,,,,,
2502,5774492,Drama,,,,,
2507,6513469,IMAX,,,,,
2512,9512500,,,,,,
2517,6652383,Action,Thriller,,,,
2522,757545,,,,,,
2527,2163908,,,,,,
2532,1816180,Action,Comedy,IMAX,,,
2537,185339,Comedy,,,,,
2542,2158106,Action,Thriller,,,,
2547,7984957,Comedy,Drama,,,,
2552,2225248,Comedy,,,,,
2557,1589623,Comedy,,,,,
2562,995598,Drama,,,,,
2567,1355356,Comedy,,,,,
2572,4554903,Drama,,,,,
2577,3213828,Drama,,,,,
2582,3755179,Action,Thriller,,,,
2587,3994010,Comedy,Drama,,,,
2592,15934899,Drama,,,,,
2597,9403585,Comedy,,,,,
2602,2340150,Comedy,,,,,
2607,1023707,Action,Thriller,,,,
2612,28595630,Drama,,,,,
2617,4748670,Comedy,Drama,,,,
2622,13162412,Comedy,,,,,
2627,3165437,Comedy,,,,,
2632,5628121,Comedy,,,,,
2637,22280944,Comedy,Drama,,,,
2642,2756337,Comedy,,,,,
2647,6139087,Thriller,,,,,
2652,3819107,Action,Comedy,,,,
2657,572098,Action,,,,,
2662,11601732,Drama,Thriller,,,,
2667,10648211,Action,Drama,Thriller,IMAX,,
2672,4354901,Comedy,Drama,,,,
2677,3963981,Drama,,,,,
2682,4522911,Drama,Thriller,,,,
2687,11787320,Drama,,,,,
2692,20674932,Drama,,,,,
2697,1620661,Comedy,,,,,
2702,2076796,Action,,,,,
2707,10857689,Drama,,,,,
2712,9117776,Action,Drama,,,,
2717,512107,Action,Thriller,Western,IMAX,,
2722,2622950,Drama,Thriller,,,,
2727,3614000,Drama,,,,,
2732,10011629,Drama,,,,,
2737,3197502,,,,,,
2742,5772529,Comedy,,,,,
2747,728485,Action,Drama,Horror,IMAX,,
2752,4799597,Drama,,,,,
2757,3884808,Horror,,,,,
2762,3506041,Action,Drama,,,,
2767,924395,Comedy,,,,,
2772,3248772,Drama,,,,,
2777,228749,Horror,,,,,
2782,19047668,Drama,,,,,
2787,13604781,Comedy,,,,,
2792,2225487,Comedy,,,,,
2797,9407151,Comedy,Drama,Thriller,,,
2802,6466061,Action,,,,,
2807,1594044,Comedy,,,,,
2812,10271058,Drama,,,,,
2817,2336914,Action,,,,,
2822,5938449,Comedy,,,,,
2827,14059215,Comedy,,,,,
2832,4740750,Action,Thriller,,,,
2837,1227384,Action,Thriller,,,,
2842,1149906,,,,,,
2847,1478961,Drama,,,,,
2852,4979963,Drama,Horror,Thriller,,,
2857,2814246,Action,Drama,,,,
2862,12388501,Drama,,,,,
2867,1115629,Comedy,,,,,
2872,1375472,Drama,,,,,
2877,427836,Comedy,,,,,
2882,3259404,Drama,,,,,
2887,3029747,Action,IMAX,,,,
2892,2620547,Comedy,,,,,
2897,5451886,Drama,,,,,
2902,1941995,Drama,,,,,
2907,12044329,Comedy,,,,,
2912,1945382,Drama,,,,,
2917,8635145,Drama,,,,,
2922,7659598,Drama,Western,,,,
2927,9248983,Drama,,,,,
2932,2050101,Drama,,,,,
2937,22540577,Drama,,,,,
2942,901666,Action,,,,,
2947,11576735,Drama,,,,,
2952,1022751,Comedy,,,,,
2957,678619,Action,Drama,Thriller,,,
2962,3647957,Drama,,,,,
2967,13888853,Comedy,Drama,,,,
2972,18865146,Comedy,,,,,
2977,3027825,Action,Comedy,,,,
2982,2812796,Drama,,,,,
2987,3419647,Action,Drama,Thriller,,,
2992,4238065,Action,,,,,
2997,9012047,Comedy,Drama,Thriller,,,
3002,5273371,Comedy,,,,,
3007,1836002,Comedy,,,,,
3012,1514746,Action,Drama,IMAX,,,
3017,2166367,Comedy,,,,,
3022,1989158,Horror,Thriller,,,,
3027,4996884,Comedy,,,,,
3032,5868978,Drama,,,,,
3037,1614394,Comedy,,,,,
3042,6630277,Drama,,,,,
3047,4532644,Thriller,,,,,
3052,60955,Horror,,,,,
3057,5180212,Horror,,,,,
3062,7391006,Action,Comedy,,,,
3067,6389477,Comedy,Drama,,,,
3072,2007469,Action,Comedy,,,,
3077,3856170,Drama,,,,,
3082,6910185,Comedy,,,,,
3087,6028972,Action,IMAX,,,,
3092,2696661,,,,,,
3097,6687833,Action,IMAX,,,,
3102,2011812,Drama,Thriller,,,,
3107,4332127,Drama,,,,,
3112,2625335,Comedy,Drama,,,,
3117,13220351,Drama,,,,,
3122,2804353,Action,Drama,Thriller,,,
3127,4070563,,,,,,
3132,1206256,Comedy,Drama,Thriller,,,
3137,10133064,Drama,,,,,
3142,9446654,Drama,,,,,
3147,72837,Action,Comedy,,,,
3152,3549422,Comedy,Drama,,,,
3157,3822083,Drama,Thriller,,,,
3162,3166513,Comedy,,,,,
3167,8512545,,,,,,
3172,2240199,Comedy,,,,,
3177,14886807,Drama,,,,,
3182,6833073,,,,,,
3187,31948808,Comedy,,,,,
3192,16061548,IMAX,,,,,
3197,17401122,Drama,,,,,
3202,5484620,Drama,,,,,
3207,1081713,Horror,Thriller,,,,
3212,4906765,Action,Drama,Western,,,
3217,10677457,Drama,,,,,
3222,3942541,Drama,Thriller,,,,
3227,1135223,Comedy,,,,,
3232,7385782,Comedy,Drama,,,,
3237,1161653,Comedy,Horror,,,,
3242,5659745,Action,Drama,,,,
3247,21965356,Comedy,Drama,,,,
3252,983490,Comedy,,,,,
3257,4713699,Comedy,Thriller,,,,
3262,2280345,Drama,,,,,
3267,12085510,Action,Drama,,,,
3272,9137813,Drama,,,,,
3277,7577581,Comedy,Drama,,,,
3282,4859046,Drama,,,,,
3287,11201286,Drama,Thriller,,,,
3292,4231162,Comedy,,,,,
3297,1352463,Action,,,,,
3302,1705029,Drama,Horror,Thriller,,,
3307,6475759,Drama,Western,,,,
3312,13704048,Drama,,,,,
3317,12033530,,,,,,
3322,4566577,Drama,Thriller,,,,
3327,14382857,Drama,,,,,
3332,3419135,Action,Thriller,,,,
3337,1774863,Drama,,,,,
3342,5213837,Action,Thriller,,,,
3347,1671877,Action,,,,,
3352,5413733,Drama,Thriller,,,,
3357,13170415,,,,,,
3362,4589929,,,,,,
3367,3832035,Comedy,,,,,
3372,7803791,Drama,,,,,
3377,1953240,Comedy,,,,,
3382,18197165,Comedy,,,,,
3387,1749625,Comedy,,,,,
3392,3645036,,,,,,
3397,4670383,Comedy,Drama,,,,
3402,4635813,Comedy,,,,,
3407,3452056,Comedy,Western,,,,
3412,1306847,Comedy,,,,,
3417,3896082,Horror,,,,,
3422,3974951,,,,,,
3427,2007817,Action,Horror,Thriller,,,
3432,977892,Comedy,,,,,
3437,8028850,Comedy,Drama,,,,
3442,2320756,Action,Thriller,,,,
3447,3653005,Action,,,,,
3452,4833449,Drama,,,,,
3457,1570548,Comedy,,,,,
3462,7670374,Action,Thriller,,,,
3467,2230380,Comedy,,,,,
3472,3640482,Drama,,,,,
3477,8758762,Drama,Thriller,,,,
3482,4455435,Drama,,,,,
3487,1699136,Action,Thriller,,,,
3492,4473785,Action,Thriller,,,,
3497,12375870,Drama,Thriller,,,,
3502,12178070,Comedy,Horror,Thriller,,,
3507,7363692,Comedy,Drama,,,,
3512,5208306,Drama,,,,,
3517,2647077,Action,,,,,
3522,3434262,Comedy,Drama,,,,
3527,2880000,Drama,,,,,
3532,351048,Comedy,,,,,
3537,4422491,Comedy,Thriller,,,,
3542,10045801,Horror,,,,,
3547,850075,Drama,,,,,
3552,1266432,Comedy,,,,,
3557,1680636,Action,,,,,
3562,9024733,Thriller,,,,,
3567,3338115,Comedy,,,,,
3572,3593433,Action,Comedy,Drama,Thriller,,
3577,2525275,Drama,,,,,
3582,4599420,Comedy,Drama,,,,
3587,2035626,Comedy,,,,,
3592,5252291,Drama,,,,,
3597,831726,Comedy,,,,,
3602,28996051,Action,Drama,,,,
3607,5549624,Comedy,,,,,
3612,10875780,Thriller,,,,,
3617,442641,Action,,,,,
3622,8486952,Comedy,Drama,,,,
3627,7227209,Comedy,Drama,,,,
3632,3818971,Action,Horror,,,,
3637,2489445,Drama,Thriller,,,,
3642,5031220,Drama,,,,,
3647,2788608,,,,,,
3652,3932456,Comedy,,,,,
3657,13252929,Drama,Thriller,,,,
3662,5088688,Comedy,,,,,
3667,705341,Horror,,,,,
3672,3631890,Comedy,Drama,,,,
3677,1268668,Action,Thriller,,,,
3682,2090245,Comedy,,,,,
3687,1141554,Drama,,,,,
3692,833995,Drama,Horror,Thriller,,,
3697,621131,Horror,Thriller,,,,
3702,23444830,Drama,,,,,
3707,4196692,Comedy,Drama,,,,
3712,872240,Comedy,Drama,,,,
3717,1431218,Comedy,,,,,
3722,2728236,Drama,Thriller,,,,
3727,656168,Action,Comedy,IMAX,,,
3732,2628048,Drama,,,,,
3737,9511469,Drama,,,,,
3742,2004445,Action,Horror,,,,
3747,1897865,Comedy,,,,,
3752,6609623,Comedy,,,,,
3757,8156855,Drama,Thriller,,,,
3762,11893851,Horror,Thriller,,,,
3767,2852167,Action,Drama,Thriller,,,
3772,5766022,Drama,,,,,
3777,5581792,Drama,,,,,
3782,4215444,Comedy,,,,,
3787,6414238,Action,Drama,,,,
3792,7494600,Comedy,Drama,,,,
3797,2647690,Action,Thriller,,,,
3802,6508303,Action,Comedy,,,,
3807,288917,Comedy,,,,,
3812,9693879,Action,,,,,
3817,1347644,Action,Comedy,,,,
3822,2277396,Comedy,,,,,
3827,4292729,Action,Drama,,,,
3832,1063050,Comedy,,,,,
3837,1548685,Comedy,,,,,
3842,5463044,Drama,Thriller,,,,
3847,2144282,Action,Comedy,,,,
3852,7636192,Action,Thriller,,,,
3857,3724322,Drama,,,,,
3862,8643582,Comedy,,,,,
3867,5779920,Comedy,Drama,,,,
3872,1077532,Action,,,,,
3877,4901897,Drama,,,,,
3882,3978448,Drama,,,,,
3887,964041,Comedy,,,,,
3892,21814461,Comedy,,,,,
3897,7114802,Drama,Western,,,,
3902,15913040,Drama,,,,,
3907,3643078,Comedy,,,,,
3912,3837168,Comedy,,,,,
3917,4046527,Comedy,Drama,,,,
3922,312131,Action,Comedy,Western,,,
3927,7987762,Comedy,Drama,,,,
3932,4847882,Drama,,,,,
3937,240150,Horror,,,,,
3942,2784370,Drama,,,,,
3947,7504570,Action,Thriller,,,,
3952,9623218,Comedy,,,,,
3957,8189369,Comedy,,,,,
3962,1057233,Action,Comedy,,,,
3967,1445609,Drama,,,,,
3972,10967334,Action,Drama,Thriller,,,
3977,8281167,Comedy,Drama,,,,
3982,1894670,Comedy,,,,,
3987,553568,Comedy,,,,,
3992,1165181,Thriller,,,,,
3997,2307976,Comedy,Drama,,,,
4002,1789721,Action,Comedy,,,,
4007,5305874,,,,,,
4012,2680092,Action,Thriller,,,,
4017,5954792,,,,,,
4022,2833764,Action,Thriller,,,,
4027,5900004,Drama,,,,,
4032,147627,Action,,,,,
