,user1,user2,weight
190,96,164,s
191,114,250,s
192,777,784,w
193,1367,495,s
194,687,1097,s
195,9,1618,w
196,323,346,s
197,74,860,w
198,128,778,s
199,41,1217,w
200,688,260,s
201,1013,299,w
202,32,312,w
203,105,1675,s
204,1213,1026,w
205,1253,85,w
206,479,212,s
207,317,281,s
208,9,88,w
209,50,1248,s
210,532,364,s
211,317,394,s
212,228,315,w
213,194,503,w
214,19,256,w
215,42,163,s
216,852,1356,s
217,503,272,s
218,697,645,s
219,701,341,s
220,388,346,s
221,778,974,s
222,94,84,s
223,53,594,w
224,516,94,s
225,19,478,w
226,38,270,w
227,118,120,s
228,1598,919,s
229,400,151,w
230,1783,393,w
231,594,765,s
232,870,598,s
233,140,201,s
234,105,1036,w
235,1283,643,w
236,770,1248,w
237,779,128,s
238,266,691,w
239,1517,710,s
240,586,504,s
241,1727,471,w
242,221,3,s
243,779,627,s
244,586,308,s
245,128,1006,s
246,69,95,s
247,36,104,s
248,220,221,s
249,349,511,s
250,41,566,w
251,392,1699,w
252,172,344,s
253,669,1196,s
254,323,732,s
255,547,1616,w
256,221,1561,s
257,1864,697,s
258,44,290,s
259,172,495,s
260,546,572,w
261,749,783,w
262,1326,97,w
263,797,621,s
264,673,679,s
265,523,1592,s
266,871,592,s
267,1285,1000,s
268,309,307,s
269,201,410,s
270,1395,1746,w
271,1472,949,s
272,598,1403,s
273,176,200,w
274,639,1713,w
275,523,1041,w
276,439,545,w
277,799,1557,w
278,1189,1481,w
279,551,992,w
280,1215,1317,s
281,321,495,s
282,1189,1370,s
283,132,449,s
284,193,393,s
285,9,154,w
286,67,172,s
287,431,727,s
288,342,502,s
289,843,575,s
290,654,302,s
291,596,989,w
292,741,212,s
293,323,455,w
294,1603,334,s
295,1269,1223,s
296,372,952,w
297,212,597,w
298,51,465,w
299,1624,1518,s
300,56,57,s
301,19,175,w
302,357,1217,w
303,69,733,w
304,1598,710,s
305,398,209,w
306,254,1039,s
307,296,375,s
308,831,1449,w
309,254,343,w
310,562,590,w
311,212,299,w
312,1280,497,s
313,1283,1339,s
314,679,465,s
315,38,475,s
316,9,679,s
317,765,882,s
318,41,86,w
319,1358,840,w
320,1107,1012,w
321,334,540,s
322,52,1237,s
323,1190,1349,w
324,128,749,s
325,121,194,s
326,615,1526,w
327,140,124,s
328,325,72,s
329,254,358,s
330,847,471,s
331,1788,1771,s
332,358,847,s
333,638,456,w
334,219,719,w
335,733,460,w
336,1033,548,w
337,884,840,w
338,63,725,w
339,1059,548,s
340,557,1565,w
341,1282,221,s
342,934,1096,w
343,779,381,w
344,105,1308,s
345,1165,841,w
346,1056,609,s
347,372,314,s
348,176,101,s
349,843,1553,s
350,327,774,s
351,42,626,s
352,44,36,s
353,1283,538,w
354,712,6,s
355,1397,473,w
356,1097,437,s
357,357,396,s
358,32,1255,s
359,1332,1737,w
360,249,1525,w
361,994,1103,w
362,36,1033,s
363,339,1066,w
364,713,87,s
365,281,252,w
366,105,332,w
367,68,832,w
368,32,1878,s
369,915,841,s
370,826,372,s
371,372,766,s
372,9,1642,s
373,1598,1329,s
374,398,480,w
375,245,1049,w
376,9,899,s
377,103,975,s
378,620,1211,w
379,289,375,w
380,950,588,w
381,3,1237,s
382,56,61,w
383,551,456,s
384,1413,509,s
385,368,359,s
386,41,263,w
387,986,771,w
388,105,1648,w
389,95,109,s
390,297,62,s
391,1405,516,s
392,1373,1306,s
393,1655,719,s
394,1162,913,w
395,1624,1052,s
396,32,1403,w
397,1406,1224,s
398,51,120,w
399,770,534,w
400,199,848,w
401,882,594,s
402,1236,645,s
403,831,1187,s
404,616,570,w
405,69,356,s
406,105,1083,s
407,752,42,s
408,697,927,w
409,482,823,s
410,249,32,s
411,514,386,s
412,3,155,s
413,603,814,s
414,144,99,s
415,1272,1260,w
416,36,81,w
417,9,1183,s
418,214,1216,w
419,590,587,w
420,1052,420,w
421,1647,1113,s
422,1647,821,s
423,105,1655,w
424,969,234,s
425,474,520,w
426,878,1050,w
427,1431,768,s
428,1018,1485,s
429,1281,1023,w
430,741,711,w
431,297,950,s
432,12,415,s
433,286,202,s
434,249,1130,w
435,871,981,s
436,603,283,w
437,306,783,s
438,91,47,w
439,6,84,w
440,924,719,w
441,266,481,w
442,859,34,w
443,674,1742,w
444,91,92,s
445,1000,140,s
446,229,230,w
447,266,368,w
448,638,642,s
449,252,73,s
450,1488,1889,w
451,627,431,s
452,631,463,w
453,1030,620,s
454,194,206,s
455,1190,1488,s
456,193,523,s
457,1023,1117,s
458,704,1295,s
459,26,823,s
460,194,97,s
461,32,396,w
462,638,636,w
463,468,1372,w
464,1272,1346,w
465,274,201,s
466,1641,95,w
467,1713,378,s
468,792,438,s
469,596,644,s
470,847,1488,s
471,357,53,s
472,41,355,s
473,321,1260,w
474,1331,632,w
475,74,765,w
476,41,396,s
477,424,260,w
478,576,1339,s
479,342,1302,s
480,51,39,w
481,590,1144,w
482,498,1072,s
483,32,840,w
484,233,1113,s
485,1619,1343,s
486,103,1540,s
487,400,59,w
488,377,1117,s
489,297,325,s
490,615,765,s
491,194,1083,w
492,321,607,s
493,567,638,s
494,144,48,s
495,1375,199,s
496,41,840,w
497,367,1248,s
498,1594,1033,s
499,546,823,s
500,103,62,s
501,714,97,w
502,67,601,w
503,714,1540,s
504,712,1398,s
505,733,52,w
506,1195,1283,w
507,1601,1796,w
508,991,1004,s
509,998,475,w
510,317,749,s
511,176,975,s
512,341,1255,s
513,514,59,w
514,36,299,s
515,789,371,s
516,1381,713,s
517,1038,638,w
518,176,94,w
519,563,538,w
520,103,365,s
521,42,955,w
522,498,297,s
523,63,963,s
524,67,260,w
525,503,1316,s
526,642,774,s
527,329,1537,s
528,681,109,s
529,727,297,s
530,176,267,w
531,87,63,w
532,95,592,s
533,103,817,s
534,250,1255,s
535,1601,862,w
536,204,456,s
537,830,364,s
538,321,300,s
539,871,1029,w
540,1214,502,s
541,1713,277,s
542,705,710,s
543,1713,70,s
544,673,32,s
545,1066,713,w
546,289,319,w
547,624,97,w
548,1255,1071,w
549,353,1772,s
550,199,101,w
551,551,400,s
552,1127,1137,s
553,377,343,s
554,69,649,s
555,469,175,w
556,733,1118,w
557,1113,1568,s
558,176,439,s
559,1286,1339,s
560,733,1231,s
561,640,1103,s
562,105,1122,w
563,1213,362,w
564,42,1621,s
565,856,1,s
566,967,279,s
567,400,39,w
568,266,688,w
569,1540,1744,s
570,1158,1255,s
571,1796,221,s
572,1756,713,s
573,69,84,w
574,1033,1188,s
575,400,852,s
576,483,199,s
577,224,8,w
578,482,194,s
579,172,488,w
580,923,544,s
581,727,638,w
582,103,256,s
583,770,437,s
584,281,352,s
585,706,1219,s
586,1004,1072,w
587,52,1701,w
588,67,313,s
589,341,1132,s
590,400,626,s
591,1260,557,s
592,638,105,s
593,1543,600,w
594,245,881,s
595,357,407,s
596,1136,626,w
597,1069,98,s
598,920,103,s
599,1183,1355,s
600,810,1351,s
601,263,391,s
602,105,343,w
603,103,708,s
604,289,8,w
605,9,153,w
606,1686,1624,s
607,48,753,s
608,67,175,w
609,103,853,s
610,713,737,w
611,1032,823,s
612,51,419,w
613,638,549,s
614,1340,42,s
615,19,65,s
616,1240,809,s
617,498,864,s
618,317,316,s
619,1167,1848,w
620,469,97,w
621,1272,1402,s
622,934,437,s
623,276,711,s
624,991,986,s
625,1269,1457,w
626,263,843,w
627,67,1770,s
628,103,1238,s
629,308,336,s
630,274,416,w
631,42,132,s
632,687,1440,s
633,621,48,s
634,19,396,s
635,794,1401,s
636,41,452,w
637,523,812,s
638,249,297,s
639,1598,801,w
640,986,590,s
641,1489,1449,s
642,644,8,s
643,701,233,w
644,252,1103,s
645,105,1118,s
646,986,753,s
647,1489,681,w
648,277,594,s
649,350,376,s
650,586,394,s
651,733,297,s
652,770,853,w
653,1717,1507,w
654,351,598,s
655,266,596,w
656,598,573,s
657,1283,919,s
658,1598,1174,s
659,277,308,w
660,68,495,s
661,1565,620,s
662,1601,1875,s
663,41,529,w
664,63,724,w
665,67,529,w
666,103,215,s
667,306,439,s
668,1063,835,s
669,1655,741,s
670,172,460,s
671,1325,1340,s
672,1667,53,s
673,557,63,s
674,249,1244,s
675,48,81,s
676,288,1440,s
677,713,321,s
678,551,673,s
679,1801,1800,s
680,781,1244,w
681,325,1248,s
682,372,473,s
683,871,513,w
684,32,1053,w
685,306,1019,s
686,1401,928,s
687,733,544,s
688,357,1568,w
689,12,681,s
690,1248,919,s
691,1285,638,s
692,484,913,s
693,9,1641,w
694,638,758,s
695,302,1187,s
696,372,878,s
697,194,26,w
698,32,353,w
699,105,621,s
700,323,418,w
701,1319,224,w
702,885,576,s
703,1033,463,s
704,204,103,w
705,167,1409,s
706,1741,391,s
707,847,1132,s
708,62,236,s
709,378,193,s
710,698,184,s
711,1021,1449,s
712,400,419,w
713,928,283,s
714,809,777,w
715,1168,697,w
716,652,753,s
717,67,1427,s
718,654,99,s
719,1283,1325,s
720,797,556,w
721,41,32,s
722,38,343,w
723,667,389,s
724,639,321,s
725,160,1729,w
726,233,1037,s
727,252,831,w
728,1031,1109,s
729,740,1256,s
730,1463,308,s
731,372,1377,w
732,481,27,s
733,67,862,w
734,128,32,s
735,1329,526,w
736,42,1724,s
737,562,439,s
738,1359,1694,s
739,1792,1399,w
740,1281,732,w
741,1246,228,s
742,53,1101,w
743,1217,482,s
744,1508,1319,s
745,871,97,s
746,547,311,w
747,732,233,s
748,214,1072,s
749,19,1390,w
750,475,368,s
751,940,798,w
752,249,1295,s
753,32,1463,s
754,1588,1284,s
755,681,590,s
756,42,964,s
757,1472,847,w
758,1080,1072,s
759,124,712,s
760,1539,1573,s
761,189,1641,w
762,103,554,w
763,713,462,s
764,421,1069,s
765,1756,245,w
766,103,1362,s
767,523,1825,w
768,12,766,s
769,1227,1237,s
770,72,337,s
771,1269,626,s
772,1127,372,s
773,704,822,s
774,638,643,s
775,3,1042,w
776,194,207,w
777,1185,607,w
778,50,1131,s
779,327,297,s
780,523,64,w
781,1548,303,s
782,704,1280,s
783,3,1187,w
784,9,34,s
785,249,1701,w
786,1113,1283,w
787,214,101,s
788,986,194,w
789,1624,812,w
790,1771,719,s
791,53,346,w
792,1338,193,w
793,368,388,s
794,204,794,s
795,62,136,w
796,212,765,s
797,36,547,w
798,1543,1395,s
799,994,315,s
800,586,481,s
801,103,1313,s
802,1521,42,s
803,400,286,s
804,184,389,s
805,1488,1888,s
806,60,296,w
807,834,323,s
808,638,1081,w
809,400,173,s
810,199,823,s
811,783,242,s
812,1667,544,w
813,212,66,s
814,986,681,w
815,1340,840,s
816,735,790,s
817,377,1019,w
818,830,638,s
819,429,191,s
820,191,928,s
821,986,1036,w
822,1214,704,s
823,783,1025,s
824,306,285,w
825,1713,1585,s
826,1713,652,s
827,79,48,w
828,770,63,s
829,1434,27,w
830,357,783,s
831,249,654,s
832,1214,1113,s
833,686,234,s
834,283,853,s
835,1786,1603,w
836,552,266,w
837,787,1339,s
838,881,1090,s
839,42,952,s
840,940,913,s
841,334,128,s
842,372,371,w
843,546,1587,w
844,1395,341,s
845,994,1298,s
846,9,386,w
847,372,482,s
848,124,323,s
849,250,1026,w
850,517,570,w
851,843,1051,w
852,194,817,s
853,697,1866,w
854,1189,1444,s
855,733,616,w
856,1342,942,s
857,1338,209,w
858,1420,468,s
859,1488,1870,w
860,425,396,s
861,189,635,w
862,1105,1154,w
863,372,823,s
864,801,121,w
865,105,404,w
866,1675,67,s
867,792,356,s
868,398,72,s
869,189,349,s
870,523,549,s
871,204,830,s
872,152,993,s
873,398,6,s
874,194,356,w
875,51,149,w
876,325,542,s
877,770,701,w
878,402,281,s
879,41,495,s
880,12,1284,s
881,986,619,s
882,400,378,w
883,19,480,w
884,517,289,s
885,41,120,s
886,204,540,w
887,1387,557,s
888,1543,1376,w
889,1283,758,s
890,19,593,s
891,423,1255,s
892,634,8,s
893,687,6,s
894,1836,697,w
895,1543,1879,s
896,41,794,w
897,1545,1557,w
898,605,266,s
899,199,569,s
900,1565,278,w
901,1866,1847,w
902,525,73,w
903,103,93,w
904,418,711,w
905,644,617,s
906,95,1673,w
907,249,1509,w
908,1648,963,s
909,1260,505,w
910,1433,1072,s
911,713,74,w
912,714,277,w
913,400,853,s
914,555,795,w
915,1488,1875,w
916,498,1402,s
917,652,35,w
918,1190,551,s
919,128,847,s
920,625,775,w
921,546,429,w
922,797,1207,s
923,181,454,s
924,1281,831,s
925,53,1349,s
926,42,1224,s
927,266,68,w
928,105,52,s
929,733,938,s
930,555,598,w
931,95,707,w
932,145,147,w
933,967,733,w
934,431,1231,s
935,53,1657,s
936,204,271,s
937,1237,1167,s
938,560,63,s
939,635,597,w
940,1556,1557,s
941,1440,1075,s
942,9,1763,s
943,915,815,s
944,1585,3,s
945,479,788,s
946,551,592,s
947,9,152,w
948,1792,1052,s
949,194,132,s
950,379,1034,s
951,105,487,w
952,1281,482,w
953,1339,660,w
954,1269,987,w
955,95,708,w
956,646,220,s
957,1326,1426,w
958,9,233,s
959,617,777,w
960,1598,1514,w
961,513,649,s
962,19,64,w
963,1079,1616,w
964,317,315,s
965,249,1629,s
966,1158,1565,w
967,1154,800,s
968,32,1689,w
969,74,592,s
970,1272,1403,s
971,9,1759,w
972,42,242,w
973,1273,1274,s
974,509,1665,s
975,770,1384,s
976,220,482,w
977,1598,708,w
978,1500,1447,s
979,308,337,w
980,368,460,s
981,762,788,w
982,249,447,s
983,639,590,s
984,582,1343,s
985,198,256,w
986,370,1417,w
987,1236,1224,s
988,639,479,s
989,400,358,s
990,74,389,s
991,316,74,s
992,9,566,s
993,105,1117,w
994,183,1676,s
995,942,349,w
996,211,213,w
997,636,626,s
998,1872,810,s
999,1328,840,s
1000,448,784,w
1001,144,121,s
1002,189,1339,w
1003,297,557,s
1004,1127,1771,s
1005,105,585,w
1006,942,63,s
1007,871,495,s
1008,323,557,s
1009,1262,644,w
1010,400,802,w
1011,1509,1401,s
1012,41,528,w
1013,1423,1033,s
1014,728,758,s
1015,1393,1424,w
1016,1215,1281,s
1017,713,102,s
1018,586,252,s
1019,73,391,s
1020,36,285,s
1021,1234,704,w
1022,385,3,s
1023,674,1346,w
1024,12,358,s
1025,1,211,s
1026,281,323,s
1027,969,1867,w
1028,357,168,s
1029,339,437,w
1030,1280,1403,s
1031,400,607,s
1032,719,862,s
1033,298,518,s
1034,297,1001,s
1035,104,713,w
1036,234,642,s
1037,73,626,s
1038,498,449,s
1039,704,700,s
1040,986,346,w
1041,794,1161,s
1042,9,299,s
1043,339,1068,w
1044,32,1655,s
1045,142,713,w
1046,949,199,s
1047,609,1182,s
1048,1796,1343,s
1049,648,590,w
1050,398,354,s
1051,63,73,s
1052,176,419,w
1053,621,719,s
1054,12,825,w
1055,986,124,w
1056,492,389,w
1057,609,607,s
1058,710,1281,s
1059,323,421,s
1060,181,783,s
1061,1161,257,w
1062,353,1722,w
1063,103,1118,s
1064,276,1260,w
1065,569,174,s
1066,53,325,s
1067,332,316,w
1068,1000,366,w
1069,838,626,s
1070,105,654,s
1071,400,420,w
1072,418,580,s
1073,67,1426,w
1074,1335,1403,s
1075,53,615,w
1076,67,1776,w
1077,41,39,w
1078,62,463,s
1079,615,1185,w
1080,257,719,s
1081,679,580,w
1082,456,1246,s
1083,41,176,s
1084,770,903,w
1085,733,758,s
1086,1325,1123,s
1087,600,80,w
1088,710,245,s
1089,828,96,s
1090,701,1006,w
1091,1415,1142,s
1092,1185,545,w
1093,249,919,s
1094,103,20,w
1095,487,437,s
1096,1624,1626,s
1097,581,249,w
1098,103,101,s
1099,12,1808,s
1100,474,615,s
1101,277,184,s
1102,261,835,s
1103,523,1380,w
1104,1665,1049,w
1105,638,373,s
1106,1189,843,w
1107,1562,503,s
1108,12,9,s
1109,1434,1562,s
1110,277,41,s
1111,372,233,s
1112,762,1585,s
1113,283,840,w
1114,400,556,w
1115,1556,1400,s
1116,30,162,s
1117,638,87,s
1118,1876,1565,w
1119,201,1616,w
1120,555,513,s
1121,626,1523,s
1122,940,61,s
1123,1611,1612,w
1124,389,252,s
1125,876,1091,s
1126,103,553,w
1127,1540,1836,s
1128,517,709,s
1129,9,502,w
1130,101,88,s
1131,118,1070,s
1132,67,72,s
1133,214,297,w
1134,250,1118,s
1135,474,74,s
1136,864,990,s
1137,42,374,w
1138,687,638,s
1139,95,1322,w
1140,357,1603,s
1141,32,1281,s
1142,1406,314,s
1143,638,640,s
1144,105,1485,w
1145,199,460,w
1146,1675,201,w
1147,294,288,s
1148,481,815,w
1149,423,132,w
1150,1325,638,w
1151,398,74,s
1152,713,696,s
1153,308,68,s
1154,1713,495,s
1155,1419,356,s
1156,501,498,s
1157,509,1587,w
1158,1489,1588,s
1159,1339,589,w
1160,19,120,s
1161,536,782,s
1162,755,386,w
1163,706,194,s
1164,357,1343,s
1165,318,132,s
1166,51,267,s
1167,34,583,s
1168,41,353,w
1169,448,365,s
1170,1741,59,w
1171,152,1153,s
1172,864,1189,w
1173,950,840,s
1174,687,783,s
1175,105,1789,s
1176,32,219,s
1177,547,1260,s
1178,252,638,s
1179,424,405,s
1180,1514,1518,w
1181,12,1520,s
1182,36,770,s
1183,1272,768,s
1184,114,357,w
1185,648,388,w
1186,335,278,w
1187,283,379,w
1188,212,67,s
1189,1283,298,s
1190,400,61,w
1191,308,990,w
1192,1033,823,s
1193,259,242,s
1194,545,1449,w
1195,266,666,w
1196,598,523,s
1197,400,76,w
1198,3,249,s
1199,1493,1449,w
1200,638,439,s
1201,36,119,s
1202,1543,1637,w
1203,6,603,s
1204,542,697,s
1205,1312,456,w
1206,323,741,s
1207,1598,841,s
1208,644,517,w
1209,314,992,w
1210,42,790,w
1211,1184,1181,s
1212,555,754,s
1213,509,52,s
1214,1184,1036,s
1215,590,1060,s
1216,1248,131,s
1217,586,534,w
1218,758,1044,s
1219,426,427,s
1220,1186,713,s
1221,300,384,s
1222,266,48,w
1223,1543,561,s
1224,1236,990,s
1225,878,1665,s
1226,353,1062,s
1227,799,1475,s
1228,1113,840,s
1229,176,269,w
1230,118,32,s
1231,517,586,s
1232,1393,1180,s
1233,777,317,w
1234,812,378,s
1235,430,638,w
1236,193,1742,w
1237,300,1702,w
1238,592,306,s
1239,1281,389,s
1240,713,715,w
1241,1285,437,w
1242,1013,773,w
1243,63,385,s
1244,1598,1487,s
1245,1033,437,s
1246,1269,887,w
1247,99,194,s
1248,995,318,s
1249,51,502,w
1250,871,1568,s
1251,145,1713,w
1252,539,605,s
1253,482,454,s
1254,1756,286,s
1255,194,498,s
1256,303,212,s
1257,1064,1216,s
1258,713,950,s
1259,422,194,s
1260,407,378,s
1261,770,1402,s
1262,1283,987,w
1263,1727,143,s
1264,50,1616,s
1265,259,48,w
1266,3,1626,w
1267,1667,654,w
1268,400,402,s
1269,913,51,s
1270,175,1421,s
1271,1573,728,s
1272,768,1189,s
1273,736,617,w
1274,681,440,s
1275,311,365,s
1276,1283,1386,w
1277,424,175,s
1278,1539,601,s
1279,252,105,w
1280,1189,80,s
1281,1657,536,s
1282,41,938,s
1283,52,1042,s
1284,1190,378,s
1285,325,482,s
1286,145,644,s
1287,42,1284,s
1288,617,596,s
1289,103,173,s
1290,704,1067,w
1291,590,641,s
1292,1346,719,s
1293,542,548,s
1294,120,75,s
1295,1185,1227,s
1296,9,1062,s
1297,357,428,w
1298,1283,1246,s
1299,1173,654,s
1300,42,1062,s
1301,281,358,s
1302,266,242,w
1303,1507,1117,s
1304,96,163,w
1305,599,998,s
1306,101,190,s
1307,48,6,s
1308,67,482,w
1309,103,480,w
1310,451,67,s
1311,357,405,s
1312,582,598,s
1313,34,88,w
1314,539,1021,w
1315,357,1546,w
1316,63,199,s
1317,176,297,s
1318,30,404,s
1319,969,1416,s
1320,1416,713,s
1321,1713,85,s
1322,1126,994,w
1323,1281,68,w
1324,1138,1389,w
1325,871,765,s
1326,1686,256,w
1327,1543,1553,w
1328,1052,1136,s
1329,1329,477,s
1330,321,270,w
1331,12,997,s
1332,1543,443,s
1333,586,1097,s
1334,12,840,w
1335,321,191,w
1336,51,466,s
1337,843,798,w
1338,644,325,s
1339,332,281,s
1340,481,561,w
1341,9,859,w
1342,105,1181,s
1343,605,681,s
1344,733,761,w
1345,3,1577,s
1346,1240,836,w
1347,1647,233,s
1348,377,482,s
1349,1101,1417,w
1350,342,544,s
1351,878,598,s
1352,271,1644,s
1353,254,1260,s
1354,1340,1407,w
1355,317,254,s
1356,67,1239,w
1357,1297,800,w
1358,1724,1237,s
1359,770,928,s
1360,701,88,s
1361,831,1049,s
1362,814,297,s
1363,1298,394,s
1364,487,3,s
1365,303,1724,s
1366,1585,1190,s
1367,473,708,s
1368,700,400,s
1369,1235,1393,w
1370,1052,1865,w
1371,980,128,s
1372,105,1406,s
1373,309,848,s
1374,770,194,s
1375,1508,1470,w
1376,67,1831,w
1377,1758,474,s
1378,413,690,w
1379,286,416,w
1380,1616,582,s
1381,1215,817,w
1382,372,103,s
1383,853,976,w
1384,1244,1287,s
1385,1281,1291,s
1386,1340,454,s
1387,199,1346,w
1388,681,711,w
1389,615,1764,w
1390,741,607,w
1391,840,352,s
1392,34,299,s
1393,915,654,s
1394,456,105,s
1395,1269,457,w
1396,42,1050,s
1397,1018,755,s
1398,103,439,w
1399,1543,553,w
1400,400,592,s
1401,194,596,w
1402,1580,1586,s
1403,1281,547,w
1404,681,1118,s
1405,652,1016,w
1406,1,1440,s
1407,357,393,w
1408,655,630,w
1409,638,794,w
1410,1565,27,w
1411,539,985,s
1412,777,988,w
1413,357,1582,w
1414,48,256,s
1415,1117,856,s
1416,1136,181,w
1417,847,1521,s
1418,95,682,w
1419,131,1039,s
1420,810,1402,s
1421,9,109,s
1422,483,34,s
1423,1231,1601,s
1424,276,903,w
1425,105,595,w
1426,1045,269,s
1427,1713,1647,s
1428,1657,1565,s
1429,1146,1050,s
1430,1812,1813,w
1431,357,1169,s
1432,617,456,w
1433,51,302,s
1434,372,536,s
1435,351,99,w
1436,423,598,s
1437,598,32,s
1438,321,52,s
1439,74,708,s
1440,714,1376,s
1441,482,97,w
1442,1280,1033,s
1443,12,1406,s
1444,145,119,s
1445,1539,899,w
1446,644,1244,s
1447,1387,615,s
1448,193,355,s
1449,32,815,w
1450,851,312,s
1451,12,1485,w
1452,342,588,s
1453,400,323,s
1454,1236,640,s
1455,667,391,s
1456,245,191,s
1457,62,607,w
1458,1667,710,w
1459,835,861,w
1460,32,926,s
1461,586,349,w
1462,523,1269,s
1463,338,386,w
1464,1893,868,s
1465,474,834,s
1466,1196,1189,w
1467,1624,1864,s
1468,27,1425,s
1469,704,63,s
1470,1076,783,w
1471,871,445,w
1472,1783,144,s
1473,809,340,s
1474,1792,341,s
1475,42,1357,w
1476,376,252,s
1477,823,103,w
1478,1543,1627,w
1479,423,1565,w
1480,1436,518,s
1481,67,527,w
1482,144,260,w
1483,1097,191,s
1484,283,843,s
1485,181,396,s
1486,474,646,s
1487,770,379,w
1488,609,449,w
1489,681,588,s
1490,44,116,s
1491,302,1392,w
1492,103,475,s
1493,9,847,w
1494,1127,144,s
1495,372,392,s
1496,12,617,s
1497,105,1831,s
1498,715,784,w
1499,53,1551,s
1500,1487,312,w
1501,573,840,s
1502,1167,454,w
1503,1186,277,s
1504,357,429,s
1505,103,697,w
1506,1066,815,s
1507,1248,966,s
1508,91,81,w
1509,1732,1556,s
1510,697,698,w
1511,655,645,w
1512,509,595,s
1513,1253,1688,w
1514,834,874,w
1515,1332,1565,s
1516,321,325,w
1517,1111,1582,s
1518,1375,1269,s
1519,3,1189,s
1520,9,32,s
1521,211,593,s
1522,1127,1585,s
1523,361,1749,s
1524,1548,1868,s
1525,700,822,s
1526,1343,12,s
1527,497,405,s
1528,119,58,w
1529,713,1189,s
1530,74,617,s
1531,1302,1315,s
1532,1036,1039,w
1533,1539,1184,w
1534,32,109,s
1535,984,1636,s
1536,9,405,s
1537,1539,1169,s
1538,67,1137,s
1539,726,992,w
1540,1154,881,w
1541,1616,940,s
1542,1283,527,w
1543,456,1132,s
1544,615,536,s
1545,372,1280,s
1546,252,1026,s
1547,1000,154,w
1548,950,1131,w
1549,1292,598,w
1550,1283,1169,s
1551,321,675,w
1552,57,708,s
1553,307,368,w
1554,176,898,w
1555,652,324,w
1556,1018,772,w
1557,144,51,w
1558,679,841,s
1559,831,934,s
1560,523,1189,s
1561,193,538,s
1562,504,1167,s
1563,605,341,s
1564,1234,615,w
1565,277,362,s
1566,617,1171,w
1567,638,263,s
1568,1062,357,s
